t_s,curvature,wheel_ate,ekf_ate,orb_ate,wheel_yaw_err,ekf_yaw_err,orb_yaw_err
0.0,0.00023230286223530072,0.01917954471277557,0.02419985312656925,0.6434602567299559,0.0032073154188791975,0.0001473824376891919,0.12079147660485479
0.043464046,0.00023230286223530072,0.01918470881161128,0.022666398054413377,0.6430587139747808,0.0032049923902572885,0.00014504107942459044,0.12097472842433632
0.088627673,0.012553282547500544,0.020085942898597345,0.022112975907603874,0.6419386448464909,0.003079459564781839,1.9489207560230426e-05,0.12080290972008711
0.133897181,0.005109666116265288,0.022015429291126272,0.022674831109196616,0.6399100805000775,0.003130556225944492,7.056677768257913e-05,0.1208475284963404
0.178981227,0.009683369419777321,0.019687106018959677,0.017979147788881933,0.6375179645527157,0.0029174751416958244,-3.280855207377087e-05,0.12055639394059448
0.224065153,0.006137564282271413,0.017590077322437357,0.014412255183453257,0.6317845704102786,0.0028368192993788455,-0.00010080541581647395,0.12065475655322144
0.268982924,0.007209152040310585,0.016479665878971067,0.012058787944467119,0.6260694589824684,0.002503694413662494,-0.00017949375489534347,0.12050293823684877
0.314388029,0.008449496620110963,0.016165446288216784,0.012587708993907442,0.6204679166524149,0.002462991761102984,-0.00026423938395847557,0.12032984659619173
0.359371405,0.0044532214545700555,0.016588181680763717,0.013962533187783463,0.6126880479366063,0.0022604744645193797,-0.0003087751072143874,0.12034700241648322
0.408395399,0.019184986651765712,0.01679073773137751,0.015300823895663718,0.6044242632487424,0.001942287975868151,-0.0005006287976105916,0.12026217208482448
0.453056564,0.012860253028668112,0.01736371726026575,0.012935113061916064,0.5972769029181519,0.0019317098549929135,-0.0005909594151809472,0.11995942520188718
0.497916455,0.011651185218308768,0.01806689786428541,0.010612515261371452,0.5885445029598319,0.001883014641059333,-0.0006678798865462632,0.11995943722963309
0.543401923,0.004338108143420172,0.018027691494047746,0.00851008690406013,0.579948904325401,0.001966754762190437,-0.0006711174802203068,0.1199741616378609
0.589129258,0.003116954336324085,0.018007645028207977,0.01019016790298575,0.5719903175787483,0.0020426424744397487,-0.0006579015995358262,0.11998177922988473
0.634296182,0.01084547443732653,0.01795745557656727,0.012323966929105024,0.563755153348107,0.002007061869720328,-0.0007223858905445191,0.11988835397678654
0.679002011,0.017059949626130333,0.018084776440105567,0.01467895726536558,0.5565127422626986,0.0019317680100647827,-0.0008494638140468247,0.11953126359978139
0.72903569,0.0029224109955094946,0.017418258085462615,0.014086879186727347,0.5476291067332167,0.0020463109910844324,-0.00077893526400441,0.11968592503817943
0.7736503760000001,0.01628959979069755,0.017421030525014324,0.014327054469022682,0.539026826542388,0.001986593138401993,-0.0008522124664254171,0.11946376482210708
0.8192832430000001,0.0023259660302255014,0.017853584389778448,0.014405759338999817,0.531507178210441,0.0020283403915852816,-0.0007838080819531079,0.11931345034455854
0.865474107,0.015669219013192404,0.017859329279363192,0.011903547300280407,0.5229224305007074,0.001969092793188132,-0.0008059336989383326,0.11916860558628706
0.910326735,0.00845899652692772,0.01790512343238083,0.009851365690841829,0.5152855927305152,0.0019557568056600694,-0.0007594649081261728,0.11910960427215977
0.956832586,0.008321394161248108,0.017905996105597666,0.007902119848856302,0.5072751049464518,0.001969711914582284,-0.0007067893990120311,0.11900040647531496
1.002548591,0.0018164510585894078,0.01774531476147007,0.007902949971950833,0.4992203573005144,0.002025202944110127,-0.0006259549080556148,0.11898738203311732
1.050672268,0.014254652108158794,0.01742341313391335,0.007698368116408473,0.49093468096491993,0.0019854221542257022,-0.0006648028695073194,0.11894240405803203
1.095018316,0.00466811426993452,0.0175359971090545,0.007848406857927344,0.4824048418626502,0.0021006614694094594,-0.0005225633324887902,0.11878424196617843
1.1407946450000002,0.007787304910245041,0.01791666058151447,0.009586324005267403,0.4746118026564815,0.00211590593979194,-0.000534776040172158,0.11870087206542568
1.187046605,0.013445499680475592,0.017700681176550825,0.011734471020437934,0.46661763352301305,0.002055897362449155,-0.0006038371458823022,0.11850172511821011
1.232245258,0.0012901921340180422,0.017637350728506786,0.014211884692967127,0.4586195170678205,0.00211127075788875,-0.0005528344069243296,0.11860498406990638
