t_s,gt_x,gt_y,gt_yaw,est_x,est_y,est_yaw,est_x_al,est_y_al,est_yaw_al
0.0,-0.001402377173732,1.8586359859561774e-07,5.771979423331071e-05,-0.0007897911127656,-0.0001785897766239,1.249597623464993e-05,-0.38034599081550985,2.5747514673489453,-1.3734202928368555
0.005348154,-0.0014080993966826,1.924589411980129e-07,-1.0521083561407944e-05,-0.0008204739017371551,-0.00018134187379363788,-1.5458118340916371e-07,-0.38035470591263887,2.5747810148473156,-1.3734329433942736
0.008309851,-0.0014147746179025,4.385716055724305e-07,5.941215873616406e-05,-0.0008374653952597215,-0.00018286592824893612,-7.16019806601409e-06,-0.38035953215306156,2.574797377640399,-1.3734399490111562
0.010851295,-0.0014209743242597,8.808909325504618e-08,-1.094282155583198e-05,-0.0008520458635736528,-0.00018417372545138154,-1.3171745834927862e-05,-0.38036367356920403,2.5748114186183604,-1.373445960558925
0.012942669,-0.0014274113081723,9.550846640699943e-08,-5.544202644429482e-06,-0.0008640442441555502,-0.00018524992192333492,-1.8118695168656274e-05,-0.3803670815727026,2.5748229730481422,-1.3734509075082588
0.015743568,-0.001433132448269,8.173588775757475e-07,5.815400085358473e-05,-0.0008801132266395324,-0.00018669123161834774,-2.4743959441408947e-05,-0.3803716457843602,2.57483844746392,-1.3734575327725316
0.018281034,-0.0014400481864083,-2.4755453193088936e-07,5.5542769982837965e-05,-0.0008946708728480178,-0.00018799698178876282,-3.0746097623879365e-05,-0.3803757807181433,2.574852466464214,-1.373463534910714
0.021262578,-0.0014462463997601,-2.4041022290453005e-07,6.493597245734864e-05,-0.0009117762302033606,-0.00018953124927691833,-3.7798660726284794e-05,-0.38038063930029226,2.574868938908067,-1.3734705874738165
0.023949961000000002,-0.0014533983377011,7.21507831925299e-07,5.899984102774879e-05,-0.0009271939622796517,-0.00019091414497294758,-4.415541353219865e-05,-0.3803850185316809,2.5748837861702834,-1.3734769442266224
0.026979056,-0.0014595980062646,-1.058119619476373e-07,-9.972218438094824e-06,-0.0009148437845198437,-0.00018078385085130703,-5.145802500772234e-05,-0.38037266321607954,2.574873662143116,-1.3734842468380979
0.028867332000000002,-0.0014660346520387,3.7844441110478333e-07,-5.181994004367493e-06,-0.000893596961363685,-0.00016914183803594688,-5.607301859811287e-05,-0.38035708103249216,2.574855110606488,-1.3734888618316883
0.030139341000000004,-0.0014717564827104,6.234580864247058e-07,5.6307230204967374e-05,-0.0008792843554331737,-0.00016129936952008722,-5.918184028619322e-05,-0.38034658432662777,2.5748426136401785,-1.3734919706533764
0.032176883,-0.0014784332929675,-2.0331187845557e-07,5.61763756509905e-05,-0.0008563579958611378,-0.00014873706926533923,-6.41616436993786e-05,-0.38032977038972926,2.5748225956263684,-1.3734969504567895
0.032961732,-0.001484154935673,4.170165603681025e-08,-9.1024283908214e-06,-0.0008475268991849697,-0.00014389814629214964,-6.607983420980901e-05,-0.38032329376173296,2.574814884807097,-1.3734988686473
0.035046143,-0.0014908300935546,5.26232899576954e-07,5.832522618407271e-05,-0.00082407317107438,-0.00013104687901211343,-7.117418662661024e-05,-0.3803060930586188,2.5747944063246,-1.3735039629997168
0.035418724000000006,-0.0014972674697462,2.9523394001138013e-07,5.641914724969889e-05,-0.0008198809011846262,-0.0001287497610183669,-7.208478387310535e-05,-0.38030301849454917,2.5747907458692065,-1.3735048735969633
0.036191119,-0.0015037052453658,6.423527970433354e-08,5.750126492503223e-05,-0.0008111899365313123,-0.0001239876221739818,-7.397253649754632e-05,-0.3802966446378185,2.574783157405373,-1.3735067613495877
0.036853194,-0.0015101427461853,7.165504013202794e-08,5.935315861781502e-05,-0.0008037402891062993,-0.00011990565235880146,-7.559066429285721e-05,-0.380291181149325,2.574776652790257,-1.373508379477383
0.037671767,-0.0015170562644762,1.988331005751568e-07,6.303135636757385e-05,-0.0007945297310250621,-0.00011485880679368925,-7.759127709983105e-05,-0.3802844262285583,2.5747686106465273,-1.37351038009019
