t_s,gt_x,gt_y,gt_yaw,est_x,est_y,est_yaw,est_x_al,est_y_al,est_yaw_al
0.0,-0.0047795746978674,1.4450289764319746e-07,3.612227170302541e-05,-0.0027039731446334,-1.7649713682600635e-09,-0.0009400321433004066,1.7952100616308,-1.7204543792519735,0.8252560645002909
0.000357621,-0.0047855340916181,8.666279856617977e-07,4.006301868149263e-05,-0.0027042027945141534,-1.7558253308047907e-09,-0.0009401583711765582,1.7952099059954276,-1.7204545481208537,0.8252559382724147
0.017010648,-0.0047922100177108,1.1127411781394992e-06,-0.0001097465379473,-0.0027148967013729047,-1.329929735507904e-09,-0.0009460363152187234,1.7952026586580023,-1.7204624116915648,0.8252500603283721
0.049962127,-0.0047984101761109,1.6621243795083416e-07,-3.14517304583423e-05,-0.002736051304836586,-4.87612640813056e-10,-0.0009576651475304843,1.7951883220315514,-1.7204779673461772,0.8252384314960608
0.050260005,-0.0048048464857954,4.120499325790013e-07,4.010146777759456e-05,-0.0027361182457070594,-4.891451892002523e-10,-0.0009577273921959062,1.7951882766683305,-1.720478016572779,0.8252383692513954
0.066887073,-0.0048103301169535,8.952075982320103e-07,-0.0001107467999954,-0.0027398547767880387,-5.746895605442412e-10,-0.0009612017886957425,1.7951857445667363,-1.7204807643220477,0.8252348948548951
0.083636163,-0.0048174833640313,6.898693424111189e-08,3.668499749221364e-05,-0.002743618729360021,-6.608617211821775e-10,-0.0009647016829452681,1.7951831938826655,-1.7204835322363785,0.825231394960646
0.116620946,-0.0048234432675398,5.526937775594002e-07,-2.8681197304577867e-05,-0.0027511984759765284,-8.217299476655416e-10,-0.0009717048596940003,1.7951780573742653,-1.7204891061793501,0.8252243917838973
0.11693557500000001,-0.0048303568670415,1.0374998387769385e-06,-3.312885348972855e-05,-0.0027513928021025355,-8.168172283034876e-10,-0.000971852420584618,1.7951779256801335,-1.7204892490754624,0.8252242442230067
0.14997580300000002,-0.0048363179872295,5.675330871734752e-07,-3.213525558460454e-05,-0.002765884150320304,-2.4117826901849695e-09,-0.0009873411227592221,1.7951681063867175,-1.7204999064978772,0.8252087555208316
0.150200622,-0.0048429935302411,5.752273660200376e-07,3.7900090689196725e-05,-0.0027484511026129414,-8.678591685290998e-09,-0.0009874253143005163,1.7951799249860632,-1.720487091198382,0.8252086713292908
0.18333159300000001,-0.0048487155488789,8.202411821675016e-07,-3.145311897673562e-05,-0.00017938977757244639,-9.322013681383881e-07,-0.000999832395193856,1.7969216001655615,-1.7185985350001627,0.8251962642483974
0.18373608300000002,-0.0048556296203446,5.897917171291758e-07,-3.1834980834170706e-05,-0.0001480245750444054,-9.434764897714824e-07,-0.000999983870987986,1.7969428639611005,-1.7185754779609765,0.8251961127726029
