lighting,estimator,trials,runs,ate_rmse_m_mean,ate_rmse_m_std,ate_rmse_m_min,ate_rmse_m_max,ate_mean_m_mean,ate_mean_m_std,ate_mean_m_min,ate_mean_m_max,ate_max_m_mean,ate_max_m_std,ate_max_m_min,ate_max_m_max,ate_norm_rmse_mean,ate_norm_rmse_std,ate_norm_rmse_min,ate_norm_rmse_max,drift_rate_m_per_m_mean,drift_rate_m_per_m_std,drift_rate_m_per_m_min,drift_rate_m_per_m_max,yaw_abs_mean_deg_mean,yaw_abs_mean_deg_std,yaw_abs_mean_deg_min,yaw_abs_mean_deg_max,yaw_abs_max_deg_mean,yaw_abs_max_deg_std,yaw_abs_max_deg_min,yaw_abs_max_deg_max,rpe_trans_rmse_m_1.0s_mean,rpe_trans_rmse_m_1.0s_std,rpe_trans_rmse_m_1.0s_min,rpe_trans_rmse_m_1.0s_max,rpe_yaw_rmse_deg_1.0s_mean,rpe_yaw_rmse_deg_1.0s_std,rpe_yaw_rmse_deg_1.0s_min,rpe_yaw_rmse_deg_1.0s_max,pose_count_ratio_mean,pose_count_ratio_std,pose_count_ratio_min,pose_count_ratio_max,gt_path_length_m_mean,gt_path_length_m_std,gt_path_length_m_min,gt_path_length_m_max,duration_s_mean,duration_s_std,duration_s_min,duration_s_max
bright,wheel,3,3,1.3906487988430873,1.8077562812358452,0.2727258710025041,3.476263143382908,1.1118855676596942,1.4105947064222475,0.2209735297494281,2.7382244052367253,2.5890701423933735,3.5902128294192774,0.4269563088919961,6.733389370596226,0.0769299552331308,0.10296081447522942,0.0144006044003014,0.1957645428952553,0.1017492814434177,0.13666065108687606,0.0163501997102183,0.25936784242781,28.79195113270229,40.00243695772896,4.332469200088298,74.95538140990175,67.77401768082944,97.11381797394908,10.784023728769904,179.9063214253431,0.09958011772122642,0.16032387400929457,0.00650397396582,0.2847052314717734,9.069777798687939,13.949433898354608,0.9602250543156816,25.17706726148085,0.9996794602700264,0.00023218139537676955,0.9994115339348764,0.9998217786490822,19.0677249551856,1.3795147633676046,17.75736858151528,20.50730457804402,78.28879012700001,1.771682703723755,77.19971302100001,80.33309296
bright,ekf,3,3,1.3938237852991209,1.806454153795618,0.2671156680850074,3.477432172536198,1.1145175006773675,1.4092793660914802,0.2167758485967867,2.738808794584764,2.594234355659657,3.587136177286343,0.419414208661578,6.734538785430286,0.077205930433991,0.1031214091691303,0.014104377412805,0.1962076676812336,0.10174110108157382,0.13631796341697705,0.0157623944522401,0.2589159773617748,27.91528485817929,39.87426092342831,2.8174942395631346,73.89369353124603,67.14745701788243,97.49222995482938,7.698713045484939,179.6614420702357,0.11863028878506406,0.14667189598695787,0.0216949486862223,0.2873697342115467,9.307988646018297,13.406611058663051,1.370102783208375,24.786914031798165,0.3329891301957099,0.00037635219393691605,0.3325610408126893,0.3332679482149863,19.05634180728094,1.3957793335415278,17.723222612205788,20.50730873314562,78.24433269933334,1.7402815345737939,77.13326467200001,80.24994453800001
bright,orbslam3,3,3,2.2549232672392097,0.6444120553050612,1.6163521577916486,2.905021609890961,1.93413066826798,0.5111758143556651,1.4217662738299215,2.4441095531451986,4.526072054798331,1.3519824103546314,3.124497041262192,5.822298096582147,0.12185443198943496,0.039575478206500814,0.0853446166622629,0.163910463867122,0.18232094275072266,0.022434118929911113,0.164899105124872,0.2076345532871387,60.93134003416164,12.848696160863698,47.76979879678011,73.44248730418937,166.1664635474589,23.909031985214316,138.55869360485195,179.97981250666442,0.3469954705778348,0.05274039499806311,0.292091514751872,0.3972666507237442,19.825361086907822,4.290060964140331,16.80693446354679,24.736257601883384,0.5646015524658429,0.01642607500874783,0.5533581358919131,0.5834522111269614,18.650238744997562,0.8215917984904387,17.72322243103397,19.28837120893796,78.257599412,1.732236333430853,77.1165059,80.250844981
dim,wheel,3,3,1.179275334608151,1.1493873851748584,0.3513879966360604,2.4915748784668508,1.0173184850925758,1.0017905180505355,0.3054658683854853,2.1628862507679942,1.883601742033716,1.9364906552644006,0.5334192928283965,4.102309361120378,0.055657031016748626,0.05323914675820454,0.0171488031271821,0.1164110731078016,0.08011774149986937,0.07915988226773997,0.0258906306898931,0.1709561138959197,17.675465697158476,16.497994814976476,5.910510562819215,36.53381340587271,31.452598356580847,28.74568048019543,11.23797316312308,64.35992942886158,0.013746604906428234,0.012868243639068622,0.0059872612187775,0.0286006165257078,1.8783971363278325,1.3439076589236985,0.9178095215758147,3.414172526443468,1.000188721468682,0.0006379757879862234,0.9998075072184792,1.0009252405625462,20.8970244223357,0.4644601190993481,20.49052601689062,21.403246374677305,84.449147107,7.368939429952694,79.025570128,92.83895267
dim,ekf,3,3,1.1911125068831743,1.1406693534512096,0.3745531907254358,2.494405984017261,1.026296429567285,0.9948561504213377,0.3233821866935964,2.1646286588866603,1.90232060616941,1.9220978246478544,0.5714319372792245,4.105949442155458,0.056230505844441205,0.05281092720920767,0.0182793474483937,0.1165434315344063,0.08101486097846947,0.07866375915389054,0.027507564931228,0.171335119392341,15.643882343405751,13.534225504849156,5.597342927058288,31.03419330417137,27.56996637911426,20.39709263698817,11.699930493835732,50.57640956264749,0.05971274133458979,0.028712839533387616,0.0403959382323672,0.0927072306577022,1.61351704282207,0.33501528462109437,1.2573430840607422,1.922333989138268,0.33339336166661165,0.0002244737253660195,0.3332050048123195,0.3336417468541821,20.89701466283721,0.46445780267063336,20.4905121357792,21.40323097729325,84.37760552266667,7.380524156773964,78.88303185000001,92.766645805
dim,orbslam3,3,3,2.4500716096406334,0.7348284806786272,1.61293092521265,2.988514808970175,2.041539166295332,0.5981102637972286,1.3652536992547173,2.500984673740368,4.378396246671536,1.442169622386955,2.713124588437773,5.21347091736991,0.1208296330832559,0.037495165427922014,0.0775520943791512,0.143553949879356,0.18945760166291317,0.0661294616670281,0.1132017967168729,0.2310343966240423,57.477528716330006,7.354251450383133,49.57494140494114,64.12081972248176,168.6998989004565,19.369004609166204,146.3345033155262,179.8948358549398,0.2793519122987121,0.05056131420116201,0.224519667446686,0.3241322273956851,17.04067666604642,0.7727960037315745,16.264260029311522,17.809800418643626,0.6079571122767145,0.020636257383046697,0.5941894892672095,0.6316841579210395,20.352705976862662,0.7887358654154759,19.44202566081289,20.81806046773181,84.40210900400001,7.359561236622148,78.9223937,92.767149474
lowlight,wheel,3,3,2.6321681498192784,1.8975442508617364,0.5389710508864691,4.239630865321347,2.1320276322161287,1.5449465267614868,0.459185338678,3.5051598430270587,4.642023512926958,3.465230606807945,0.7664274317648534,7.4415868464499235,0.132861713653146,0.09822857545044435,0.0256755445744397,0.2185826195269264,0.21851129404722233,0.17329909393637352,0.0363624829952317,0.3813417720230646,41.80202849192313,29.932953828516496,7.251490762396115,59.900086424733736,98.20767947056221,83.03078497257553,13.943675618320466,179.94769187757086,0.09467781467509064,0.13303931825769366,0.0062686781427212,0.2476818711554786,7.646589368310543,8.851763102991866,1.0125637658356774,17.697545164611803,0.9988565207012452,0.0016550820268373032,0.9969453990072548,0.9998147118769688,20.19694882444874,0.7978187093866778,19.39601087450177,20.99161127133479,81.32740801466667,2.5353541083571502,79.715962117,84.249838795
lowlight,ekf,3,3,2.6394941087110144,1.889426891324023,0.5555699966518745,4.240812222222986,2.1372643355603977,1.5385297549495662,0.4718601719258707,3.50559271964143,4.65667281772923,3.455924684241435,0.7927580360143057,7.452364741231386,0.13324985272210896,0.09785794611864837,0.0264662959671053,0.218643687652643,0.21917263580136878,0.1728985669906473,0.0374940689168397,0.3816958659716639,38.070383035274126,27.17102331530529,7.125300131088098,58.02242122703041,94.6070168227336,82.81003495089153,14.532186043806677,179.90498894057305,0.13729725462440812,0.10646648635392093,0.0423360212914587,0.2523935931273277,7.099119347606315,8.908445008886865,1.2756393545400244,17.35427156558861,0.33286857341484216,0.0005926527173786905,0.3321878579610538,0.3332698170731707,20.19237629129447,0.7978073677716268,19.395996599546564,20.991603711467047,81.26528833833333,2.5457950292812077,79.662152448,84.200758535
lowlight,orbslam3,3,3,1.2904537681827557,1.2293371462506755,0.5154053834407863,2.7079026277665434,1.0923460797441393,0.9629386146186828,0.4749142652797404,2.2018954536778423,2.5299365878022098,2.38465806445374,1.152317488609683,5.283502369383071,0.06402956925886004,0.060865040837993996,0.0245529280441382,0.134124113861014,0.09276897963381746,0.10250559766597624,0.0159631673148711,0.209165782659514,23.89372603276071,31.204205859776817,2.999531099262967,59.76280074165339,70.5997283904233,94.89969711507037,9.651546053232808,179.94042728926476,0.21243236168877047,0.07417813960004405,0.1545760859030537,0.2960586248573541,8.096856092504476,8.457030882587445,1.1103517746272231,17.49882549051028,0.6740970206069216,0.009730459461249502,0.6657121038564338,0.6847664936990363,20.192384282591288,0.7977973565280492,19.39601861920695,20.991605665697108,81.26391279733333,2.545192284600572,79.659781365,84.198600263
