Phase,Wheel ATE RMSE,EKF ATE RMSE,ORB-SLAM3 ATE RMSE,Main observation
Rest / stop,0.015097454237165615,0.036586394704851456,0.4494513523249034,Stability/noise
Square turns,0.2989530786020502,0.28708461071259184,2.1179309894631584,Turning/yaw error
Straight motion,0.5642582817899012,0.5589985712279115,1.89367678443084,Translational drift
Rotation,0.6397250090418414,0.6411400134877994,0.2487877643512014,Orientation difficulty
Curved motion,0.7176963742563697,0.7118361403271711,1.786575405063485,Combined motion error
