Phase,Wheel ATE RMSE,EKF ATE RMSE,ORB-SLAM3 ATE RMSE,Main observation
Rest / stop,0.01717194043517469,0.032747395351087415,0.011357586737481011,Stability/noise
Square turns,0.332520798015016,0.32344821901894333,0.7242469228735365,Turning/yaw error
Straight motion,0.8941119558454867,0.8916277861058028,0.07285334775574544,Translational drift
Rotation,0.9726446029016715,0.9737050689132576,0.17199924881646197,Orientation difficulty
Curved motion,1.0284508779593664,1.0249904753712287,0.16724374122978583,Combined motion error
