timestamp,x,y,yaw,omega_z,phase
1773152924177299395,-0.0005161210357086,5.3683479180684094e-09,-0.0001047130536195,-5.8945043943942085e-05,0
1773152924354362138,-0.0005317510948674,5.505330817096954e-09,-0.000105685156865,1.460325643462901e-05,0
1773152924516390412,-0.0005526746145796,5.8642086876621e-09,-0.0001041899414815,2.2139197223970864e-05,0
1773152924679768115,-0.0005738182029032,6.218444594936044e-09,-0.0001029227541158,4.45522248857007e-05,0
1773152924851786509,-0.0005877673768088,6.391949638661768e-09,-9.998580334524831e-05,4.8150817310162906e-05,0
1773152925011369511,-0.0006086199565708,6.754659382009623e-09,-0.0001006891831667,1.570225815988554e-06,0
1773152925177109669,-0.0006249945778485,6.9857499779374124e-09,-0.0001020680928798,-7.837076243646991e-05,0
1773152925342030870,-0.0006435504513228,7.322446793764287e-09,-0.0001053670426904,-4.14077081191589e-05,0
1773152925508772213,-0.0006652891942194,7.485228827303487e-09,-0.0001062163092604,-1.7077533692837214e-05,0
1773152925685094118,-0.0006857850860679,7.824558617859361e-09,-0.0001073946901679,1.3320294839968818e-05,0
1773152925857324847,-0.0007003544527271,8.010627089776347e-09,-0.0001063272811498,3.057693927721084e-05,0
1773152926020297059,-0.0007276095707114,8.490607141958029e-09,-0.0001051241816787,4.478766681043732e-05,0
1773152926181273754,-0.0007422468996994,8.839945630204584e-09,-0.0001012840670941,0.0001104171995499,0
1773152926349492921,-0.0007631493044039,8.808539478155694e-09,-9.86247742531532e-05,6.768197377574716e-06,0
1773152926531511416,-0.0007766681603185,9.027712495042542e-09,-9.915877545063624e-05,-3.392712769492968e-05,0
1773152926705841821,-0.0007977581041129,9.399716631096696e-09,-0.000103833136575,-0.0001339835962019,0
1773152926869663420,-0.0008134477486301,9.445906489674116e-09,-0.000113115177549,-0.0002319382527955,0
1773152927024932365,-0.0008326284602083,9.788674247261402e-09,-0.0001249802615337,-0.000239120255342,0
1773152927206317145,-0.0008537257760655,1.020784041665854e-08,-0.0001368839028064,-0.000236346745314,0
1773152927373325989,-0.000867709668578,1.0426322270002578e-08,-0.0001476414846632,-0.0001631213831194,0
1773152927535975439,-0.0008885891420586,1.0842127901652996e-08,-0.000153621274308,-8.277325590174382e-05,0
1773152927696899354,-0.0009097682872357,1.1221344326005856e-08,-0.0001514415397507,0.0001203548251819,0
1773152927870275736,-0.0009243686475549,1.1356494135579192e-08,-0.000142676135364,0.0002452719775533,0
1773152928041491636,-0.0009445736556485,1.1678821342467346e-08,-0.0001312507672306,0.000189534362573,0
1773152928218931751,-0.0009657336196982,1.2013046476204106e-08,-0.0001277529523191,-6.548534094716913e-05,0
1773152928448954824,-0.0009797159031931,1.2193805907150251e-08,-0.0001337145524762,-0.0001548627028282,0
1773152928618899626,-0.0010005928374453,1.2606064067203947e-08,-0.0001441932049859,-0.0002964522637276,0
1773152928792226945,-0.0010217704060192,1.3030245260548496e-08,-0.0001569705962531,-0.0002670843599295,0
1773152928951402274,-0.0010363690733636,1.3242496256687782e-08,-0.0001713142117054,-0.0002890371370483,0
1773152929293834990,-0.0010777338657098,1.4091271465356256e-08,-0.0001931846945857,-0.0002631775572875,0
1773152929461135621,-0.0010971432074382,1.4602192412341172e-08,-0.0002001245101972,-0.000101400147371,0
1773152929638350789,-0.0011127587297668,1.4885054594532946e-08,-0.0002049294167116,-0.0001022990917553,0
1773152929805584613,-0.0011336798187924,1.5287117022310154e-08,-0.0002067689339155,2.968152078726681e-05,0
1773152929987985830,-0.0011531030764156,1.5761370786228922e-08,-0.000206086651266,7.621633861741772e-06,0
1773152930165932761,-0.0011710862947335,1.6048143286498977e-08,-0.0002079836325119,-5.233907958836809e-05,0
1773152930325115616,-0.0011896655965203,1.6389485838742673e-08,-0.0002109447736251,-7.571066681969745e-05,0
1773152930491445772,-0.0012090053274694,1.6890385685839832e-08,-0.0002120330414552,3.49949769376022e-05,0
1773152930650666680,-0.001227026682307,1.7181675948392685e-08,-0.0002110937791801,-1.3965577853022843e-05,0
1773152930804684958,-0.0012456328370234,1.7518736057332515e-08,-0.0002104198134902,1.630647548576731e-05,0
1773152930968688677,-0.0012649875880091,1.8009986919715213e-08,-0.0002095372639563,3.8618841455034416e-05,0
1773152931139241418,-0.0012830168692309,1.830640240146003e-08,-0.0002098690387657,3.0406133035045145e-05,0
1773152931297119552,-0.0013016275362685,1.8644059770826373e-08,-0.0002075272912067,3.386619663415827e-05,0
1773152931479184550,-0.0013209847636434,1.9136449773661647e-08,-0.0002077132830873,-3.087616241604246e-05,0
1773152931648190509,-0.0013431809022995,1.9848876715439875e-08,-0.0002090865749133,1.5302312748569765e-05,0
1773152931805198146,-0.0013648837150601,2.014138718819492e-08,-0.0002094383784716,-6.901088539896642e-07,0
1773152931957627160,-0.0013786676032078,2.0397672289503483e-08,-0.00020946138198,-6.90108853980163e-07,0
1773152932278470479,-0.0014142084740091,2.1372268296774924e-08,-0.0002019503454837,9.639872968406069e-05,0
1773152932436608748,-0.0014417047852997,2.1878668119432288e-08,-0.0001987987544609,3.578014454719642e-05,0
1773152932587640505,-0.0014509991879444,2.1927133280890063e-08,-0.000198745691573,-2.562078474417552e-05,0
1773152932747802716,-0.0014701838629733,2.2502364201753625e-08,-0.0002021266269527,-9.633392901769906e-05,0
1773152932940606119,-0.0014906273140647,2.2922624679218663e-08,-0.0002071805777035,-0.0001194892380396,0
1773152933129540891,-0.0015069757561319,2.3124578145728612e-08,-0.0002121888887387,-7.763677756440026e-05,0
