timestamp,x,y,yaw,omega_z,phase
1772293033151332202,-6.999999974887877e-06,5.929332035504004e-10,-0.0001694094869312682,-0.010164569012584713,
1772293033225583216,-1.3999999893524585e-05,1.660212967082276e-09,-0.00013552758954501462,0.0020329136805421234,
1772293033268793176,-2.0999999868412455e-05,2.253146170632676e-09,-3.3881897386253695e-05,0.006098741041626369,
1772293033347377982,-2.0999999868412455e-05,2.253146170632676e-09,-3.3881897386253695e-05,0.0,
1772293033482875336,-3.4999999836268935e-05,3.201839296721723e-09,-0.00010164569215876096,-0.004065827361084247,
1772293033513392729,-3.4999999836268935e-05,3.201839296721723e-09,-0.00010164569215876096,0.0,
1772293033613684300,-4.899999976394601e-05,4.624878984493939e-09,-0.00010164569215876092,2.2139291138698048e-18,
1772293033645413248,-4.899999976394601e-05,4.624878984493939e-09,-0.00010164569215876092,0.0,
1772293033734777556,-5.599999973883388e-05,5.217812188044339e-09,-6.776379477250731e-05,0.002032913680542123,
1772293033794813503,-6.999999970669036e-05,6.166505314133386e-09,-6.776379477250736e-05,-2.2139292467055495e-18,
1772293033855566270,-6.999999970669036e-05,6.166505314133386e-09,-6.776379477250738e-05,0.0,
1772293033884482332,-7.699999968157824e-05,6.759438517683787e-09,-0.00010164569215876103,-0.002032913802516943,
1772293033975045040,-8.399999965646612e-05,7.3523717212341875e-09,-6.77637947725074e-05,0.0020329136805421243,
1772293034004760841,-9.099999963135398e-05,7.945304924784588e-09,-0.00010164569215876102,-0.002032913802516941,
1772293034097442898,-9.799999960624186e-05,8.538238128334989e-09,-6.776379477250738e-05,0.0020329136805421243,
1772293034157279102,-0.00010499999958112974,9.13117133188539e-09,-0.00010164569215876103,-0.0020329136805421243,
1772293034217507997,-0.00011199999955601761,9.72410453543579e-09,-6.776379477250743e-05,0.002032913802516941,
1772293034248702033,-0.00011199999955601761,9.72410453543579e-09,-6.776379477250744e-05,0.0,
1772293034336831430,-0.0001259999995238741,1.067279766152484e-08,-6.776379477250746e-05,0.0,
1772293034366771018,-0.0001259999995238741,1.067279766152484e-08,-6.776379477250747e-05,0.0,
1772293034472605170,-0.00013299999949876196,1.126573086507524e-08,-0.00010164569215876105,-0.0020329138025169382,
1772293034542884343,-0.00013999999947364984,1.1858664068625641e-08,-6.77637947725074e-05,0.0020329136805421243,
1772293034613096948,-0.00014699999944853772,1.2451597272176042e-08,-0.00010164569215876106,-0.002032913802516943,
1772293034643529278,-0.00015399999942342557,1.3044530475726442e-08,-6.77637947725075e-05,0.0020329136805421195,
1772293034741021738,-0.00016099999939831345,1.3637463679276845e-08,-0.00010164569215876114,-0.002032913802516943,
1772293034771052611,-0.00016799999937320133,1.4230396882827247e-08,-6.776379477250751e-05,0.0020329136805421243,
1772293034877218497,-0.0001749999993480892,1.482333008637765e-08,-0.00010164569215876117,-0.002032913802516943,
1772293034934317270,-0.0001819999993229771,1.541626328992805e-08,-6.776379477250754e-05,0.0020329136805421243,
1772293034963457551,-0.0001819999993229771,1.541626328992805e-08,-6.776379477250755e-05,0.0,
1772293035051061483,-0.00019599999929083357,1.6364956416017102e-08,-6.776379477250757e-05,0.0,
1772293035082285545,-0.00019599999929083357,1.6364956416017102e-08,-6.776379477250758e-05,0.0,
1772293035174736881,-0.00020999999925869005,1.731364954210615e-08,-6.776379477250753e-05,4.427858493411099e-18,
1772293035204549917,-0.00020999999925869005,1.731364954210615e-08,-6.776379477250754e-05,0.0,
1772293035295374022,-0.00021699999923357793,1.7906582745656552e-08,-0.0001016456921587612,-0.002032913802516943,
1772293035355375251,-0.0002239999992084658,1.8499515949206953e-08,-6.776379477250763e-05,0.0020329136805421195,
1772293035384339826,-0.00023099999918335367,1.9092449152757357e-08,-0.00010164569215876128,-0.002032913802516943,
