timestamp,x,y,yaw,omega_z,phase,t_rel
1772292707669746039,0.0,0.0,0.0,0.0006780677358619,1,0.0
1772292707825277183,-1.6744039185878694e-05,1.7504593614649323e-09,9.939987823948115e-07,1.6547988231483078e-05,1,0.155531144
1772292708063436846,-3.4003307278906e-05,3.004672580140939e-09,-4.466206451780863e-06,-0.0004114014400861,1,0.39369080700000003
1772292708268563665,-5.483105833508298e-05,4.897884182354975e-09,-3.34084036124338e-05,-0.0014561985899688,1,0.598817626
1772292708405430344,-7.653167984388662e-05,6.670100852785034e-09,-9.79199092854266e-05,-0.0008270819344071,1,0.735684305
1772292708628391415,-9.734136743414488e-05,8.641392720579068e-09,-0.0001534425962756,-0.0010868012202297,1,0.9586453760000001
1772292708809222292,-0.0001190725802793,1.1331203285490853e-08,-0.0002303950310631,-0.0013276450855759,1,1.139476253
1772292708989709905,-0.000139674702585,1.2573530363743145e-08,-0.0002988084276096,-0.0013682828544664,1,1.3199638660000002
1772292709141189581,-0.0001606293466473,1.4696196516926886e-08,-0.0003678064273184,-0.0013862400150689,1,1.471443542
1772292709350926982,-0.0001747425397267,1.612997491113845e-08,-0.000414053887308,-0.0013847797455932,1,1.6811809430000002
1772292709530760559,-0.0001941398737009,1.7974743743196116e-08,-0.000483462983952,-0.0013895451434494,1,1.8610145200000001
1772292709712398754,-0.000217278867296,1.9841788993111934e-08,-0.0005759680659815,-0.0013878730702514,1,2.042652715
1772292709891804266,-0.0002377014551225,2.193838875817393e-08,-0.0006452975825621,-0.001386516965998,1,2.222058227
1772292710070863508,0.0161016717463265,-3.5989443215926543e-06,-0.0006968933538904,-0.0019394491295503,1,2.4011174690000003
1772292710252429986,0.0476498927595663,-1.7587395518901213e-05,-0.0007937115043668,-0.0020596199820608,1,2.582683947
1772292710440418758,0.0875247612421551,-4.849464525609781e-05,-0.0008701497971972,-0.0004887844232399,1,2.7706727190000002
1772292710585878847,0.1197835724579945,-8.346306858466618e-05,-0.0008149830580697,0.0027043345109823,1,2.916132808
1772292710797302911,0.1436082010572538,-0.0001087818179611,-0.0006871844898452,0.0054582786737201,1,3.127556872
1772292710979129254,0.1771803417609104,-0.00013127184219,-0.0003904883161638,0.0061856042153218,1,3.309383215
1772292711159652665,0.2106478905282506,-0.0001440118026459,-8.337478676123666e-05,0.0058274210287249,1,3.4899066260000002
1772292711340343636,0.2440243186658349,-0.0001480518607822,0.0001920961649428,0.0054157048789326,1,3.6705975970000004
1772292711524073144,0.2773509184287063,-0.0001443901136274,0.0004463252216644,0.0049224751941692,1,3.8543271050000003
1772292711670801769,0.3106353639431276,-0.0001339589151712,0.0006782096142039,0.0045319495245272,1,4.00105573
1772292711882102979,0.3439051262742502,-0.0001177653735143,0.0008832778302481,0.0039458510634792,1,4.21235694
1772292712062631841,0.3882599769705482,-8.866340810555356e-05,0.0011186703864445,0.0033817460811023,1,4.392885802
1772292712242263573,0.4104302122418863,-7.053767003044705e-05,0.0012217652846153,0.0031375315711427,1,4.572517534
1772292712393291989,0.4436876360990062,-3.8944699759250326e-05,0.0013675082362731,0.0029746106318098,1,4.72354595
1772292712602990496,0.4769468219127788,-2.6357689397358822e-06,0.0015070357958317,0.002887544863102,1,4.933244457000001
1772292712784099422,0.5212833060586061,5.313920393180571e-05,0.0016895382008743,0.0028471342175149,1,5.114353383
1772292712963098039,0.5434511222473114,8.437858972302166e-05,0.0017774008154018,0.0027305592936237,1,5.2933520000000005
1772292713141858481,0.587791373726651,0.0001529391633961,0.0019490293327959,0.0026525235959054,1,5.472112442
1772292713322829735,0.6099596960319209,0.0001898477307319,0.002031439584309,0.0025701825059487,1,5.653083696
1772292713473092222,0.6432094392185591,0.0002493089768167,0.002154072044731,0.002526846184922,1,5.803346183
1772292713684463515,0.6875502926269634,0.0003351137058022,0.0023136817715019,0.0024614026737821,1,6.014717476
1772292713864176683,0.7097177249832402,0.0003809465137069,0.002391927529012,0.0024151506489349,1,6.1944306440000005
1772292714045501180,0.7540554652259581,0.0004781274449641,0.0025447751576526,0.0023325172127731,1,6.375755141
1772292714223797268,0.7762272574288898,0.0005294958754475,0.0026195147440071,0.0022894969149576,1,6.554051229000001
1772292714405020351,0.8094774879649986,0.0006094325430654,0.0027288515523062,0.0022235546215739,1,6.7352743120000005
