lighting,trial,config,ate_rmse_m,ate_norm_rmse,drift_rate_m_per_m,yaw_abs_mean_deg,rpe_trans_rmse_m_1.0s,pose_count_ratio
bright,t01,default_1000_20_7,0.9936016779350644,0.0524578295067047,0.1002258620785105,30.746419636941955,0.3089039796795964,0.8284265938779489
bright,t01,tuned_1800_10_4,1.6163521577916486,0.0853446166622629,0.164899105124872,47.76979879678011,0.292091514751872,0.5533581358919131
dim,t01,default_1000_20_7,2.0629100383978347,0.0963748959100779,0.143447382413993,59.78007606255621,0.2689343114610537,0.8901483580596766
dim,t01,tuned_1800_10_4,2.988514808970175,0.143553949879356,0.2241366116478243,64.12081972248176,0.3241322273956851,0.6316841579210395
lowlight,t01,default_1000_20_7,1.6306297206598463,0.0840703424526383,0.1429569073349253,58.7135170458634,0.4732614501761067,0.906412157153447
lowlight,t01,tuned_1800_10_4,0.6480532933409373,0.0334116658714279,0.0531779889270673,8.918846257365773,0.1545760859030537,0.6847664936990363
