t_s,wheel_ate,ekf_ate
0.0,0.01917954471277557,0.02419985312656925
0.043464046,0.01918470881161128,0.022666398054413377
0.088627673,0.020085942898597345,0.022112975907603874
0.133897181,0.022015429291126272,0.022674831109196616
0.178981227,0.019687106018959677,0.017979147788881933
0.224065153,0.017590077322437357,0.014412255183453257
0.268982924,0.016479665878971067,0.012058787944467119
0.314388029,0.016165446288216784,0.012587708993907442
0.359371405,0.016588181680763717,0.013962533187783463
0.408395399,0.01679073773137751,0.015300823895663718
0.453056564,0.01736371726026575,0.012935113061916064
0.497916455,0.01806689786428541,0.010612515261371452
0.543401923,0.018027691494047746,0.00851008690406013
0.589129258,0.018007645028207977,0.01019016790298575
0.634296182,0.01795745557656727,0.012323966929105024
0.679002011,0.018084776440105567,0.01467895726536558
0.72903569,0.017418258085462615,0.014086879186727347
0.7736503760000001,0.017421030525014324,0.014327054469022682
0.8192832430000001,0.017853584389778448,0.014405759338999817
0.865474107,0.017859329279363192,0.011903547300280407
0.910326735,0.01790512343238083,0.009851365690841829
0.956832586,0.017905996105597666,0.007902119848856302
1.002548591,0.01774531476147007,0.007902949971950833
1.050672268,0.01742341313391335,0.007698368116408473
1.095018316,0.0175359971090545,0.007848406857927344
1.1407946450000002,0.01791666058151447,0.009586324005267403
1.187046605,0.017700681176550825,0.011734471020437934
1.232245258,0.017637350728506786,0.014211884692967127
1.277167077,0.017787123205540652,0.011905356805258789
1.322817137,0.017944502768949298,0.009561568931231168
1.368107945,0.017905684622266754,0.007747501350457321
1.416943121,0.017282901153488385,0.009239124606497822
1.46089931,0.017472440861575497,0.011609777619467266
1.506042158,0.01793337976420846,0.014145181185485932
1.551563934,0.017904330935107664,0.014055337245544364
1.595949065,0.01788703964166787,0.014115532005419533
1.6404424320000002,0.01800611028517648,0.014152713023324376
1.68538513,0.01803510148863736,0.014405419833365643
1.7313494150000002,0.01779429224343017,0.01450059880588542
1.77988274,0.017284232072994662,0.014191522178244554
1.824766537,0.017312728304463985,0.014205570825948933
1.86978555,0.01779499380755939,0.014195589354705433
1.914521196,0.017816021583857033,0.014233334674996725
1.9595618,0.01780396605730131,0.014221183252246195
2.004406663,0.017840503259251374,0.014240881345643617
2.049897981,0.017772133585412558,0.014155533334970249
2.0952532120000003,0.01768888509029167,0.014317480838771863
2.143549747,0.01720679166161524,0.014017739671446374
2.189473114,0.017025837770448395,0.01409152510998273
2.2348790910000003,0.01752522222747943,0.014132125949166475
2.2799747900000003,0.01763728675243348,0.01422239189301707
2.325554285,0.017677387388701064,0.0142354901361455
2.370745775,0.017628956796089692,0.01439335060602867
2.4154830840000003,0.01768862818307012,0.014625383851896972
2.464203774,0.017149273744192933,0.014222856722728602
2.509999559,0.017023988531728054,0.011988643534172127
2.556042062,0.01736391471623432,0.009876423736305684
2.602410684,0.01729797710233183,0.00808030437234881
2.64832322,0.017312978288483563,0.009718563845099986
2.6941670770000004,0.017353807279678633,0.01182473031915998
2.7395456520000003,0.0174688225425509,0.014192168595560216
2.78483626,0.01756258982419066,0.014489155710506622
2.834634482,0.01691638621784865,0.014069636031225763
2.8804417090000003,0.016855400905944187,0.014271346211431508
2.9265886400000003,0.017340891354694788,0.014172612340987312
2.9720806690000003,0.017364144194732537,0.014182873617153102
3.017175256,0.017445241540107882,0.014195601941366818
3.062450735,0.017496892424615537,0.014285193383700164
3.10784544,0.01743478799369976,0.014268599463001982
3.153753448,0.01722219605265782,0.014245870909912252
3.202906668,0.01680959590152108,0.013825876017306402
3.247979062,0.016955194270454884,0.014105645072873624
3.2940830620000003,0.0173381093725386,0.01422337775268883
3.339148653,0.017395155400605405,0.014368780651794989
3.3843799490000004,0.01745115804345396,0.014470603025228873
3.4301995190000003,0.017240860994853228,0.014489893041701852
3.476786805,0.017177118147535198,0.014488466079528682
3.5255083770000004,0.01671709177293335,0.0141721887667836
3.5723743700000004,0.016671498173269204,0.01409939465116455
3.617840461,0.017098503680107447,0.011951648773727402
3.66377502,0.017051844025786793,0.009893265145761594
3.71060229,0.016932576476995233,0.008072602402405964
3.75710199,0.016906374361687772,0.008095725853827658
3.803167967,0.01713061624410293,0.008210504970168352
3.852334502,0.016523966415044274,0.008030130196299867
3.897517145,0.0166418359571772,0.008160055964580049
3.945157808,0.01693163191633746,0.008052692586769428
3.990674765,0.0169650484448599,0.008149075520210353
4.036661001000001,0.017011233960880896,0.008118138486987699
4.082026441,0.01715400084928255,0.008144739134325833
4.127591730000001,0.017161235785508173,0.008150646755739469
4.173054975,0.017201376721071356,0.009950100228109956
4.221941028000001,0.01664327066848961,0.01185918693486814
4.267494865000001,0.01664335346203467,0.01429334609876451
4.3118996140000005,0.01731779492634722,0.01441862721078352
4.357354463,0.01725845797423373,0.014369536246732508
4.402442968,0.017237265911633368,0.014379809680154017
4.446703503,0.017400130345051428,0.012216200645318146
4.491809231,0.017398425357978826,0.010047596857275574
4.536829486,0.01737934217686758,0.008261877244655519
4.585955564000001,0.016607881668466263,0.00974824498423554
4.6321940790000005,0.016409274280429927,0.011943331017628624
4.6778906970000005,0.016973136551338436,0.014429708921446498
4.7228538040000005,0.017135241000240966,0.014522613908469062
4.769001146,0.017044864545972673,0.014357703466811445
4.8142461270000005,0.017086788382251764,0.014338578937964457
4.860145489000001,0.016915263833756577,0.014496821253471927
4.909625838,0.01631733449658572,0.014102161329331836
4.954407742,0.01649732219026575,0.01443560069762425
5.001468876000001,0.016801286596648046,0.014224993333121532
5.046490675,0.01685936556416549,0.01433174783142662
5.091552619000001,0.017031757631009704,0.014435796393120906
5.136605927000001,0.017104530079063887,0.014504938634300359
5.1814837030000005,0.017210764891078128,0.014599954824145948
5.227809873,0.01708809669390799,0.014462105347470175
5.276644329000001,0.01633941389789248,0.011778546831172689
5.322399106000001,0.016379940628801402,0.009884371101255375
5.368384241,0.016685774819513697,0.008276102566340008
5.414664505,0.016701569325191123,0.009974979142408332
5.461494611,0.016560738518029392,0.012074580613597485
5.508411491,0.01643711534690985,0.014373712246134802
5.553139082,0.016848368956282264,0.012439639874153929
5.598557021,0.01697409644364226,0.010509969462655889
5.6481802320000005,0.01635875775051705,0.008258729312893667
5.693191991,0.01640127025155463,0.009972731603236074
5.739805216000001,0.01683040880121593,0.01202047817690855
5.784745831,0.016865995634844148,0.014449128725732134
5.830590499,0.016866233519449443,0.014505193976819201
5.8757619210000005,0.016801973738572534,0.014482590928324886
5.922724658000001,0.01663757460642651,0.014400992909164271
5.968766530000001,0.016533650145137573,0.014492930555572055
6.017696787,0.016007749313879514,0.01421429577162886
6.062629387,0.016339008862756264,0.014514195960992838
6.108144099,0.01679287857731785,0.014479263396686306
6.1533421420000005,0.016869049931714987,0.014494353613429952
6.198716779000001,0.01682848284188137,0.014482502710335354
6.244655135,0.016811468181035703,0.012293096520930675
6.293492576,0.016195709905303775,0.009774428924651116
6.3376206,0.016281469308946684,0.008410946390954197
6.3825572070000005,0.016847327416483548,0.010127640396740516
6.428687627,0.016732122710801607,0.012214590878402909
6.475187657,0.01656492968790257,0.01446419873446982
6.5201644000000005,0.016725220840012996,0.012303798796222227
6.565460188,0.016719153743966306,0.01023502767906888
6.612534527,0.01655974306561738,0.008266281203754515
6.657992833000001,0.016501450778334346,0.00844090272898441
6.708168691,0.015948973902359283,0.00819791595385247
6.7544493150000005,0.015771204521786538,0.00831702533306741
6.799842107000001,0.01659652028462443,0.010049638702653433
6.845972366000001,0.01648661745435715,0.012122327564680747
6.891950979000001,0.01662786493147465,0.014406012873782343
6.936783779000001,0.016723623377098755,0.014722131375810108
6.982709130000001,0.016576339937867248,0.014869810320067572
7.031560537000001,0.016093928396697137,0.014560147926962523
7.0779071170000005,0.015804451334504012,0.014451197148909791
7.1229777080000005,0.01649454408583303,0.014543008660168038
7.168522077,0.016631085156743206,0.01455941736390679
7.213760185000001,0.016602340487950944,0.014646776004043419
7.259658976000001,0.016525917972912984,0.014629223447067196
7.305764669,0.016432394123968536,0.014578712862013052
7.354942445000001,0.015991304885644805,0.014164172394209088
7.401310896,0.015783173947309083,0.014188802933774006
7.445156084000001,0.016688888163150502,0.014607063549517792
7.491282456,0.01666139588169383,0.014507508775785443
7.53712462,0.016412755911393604,0.014451410990781838
7.581889451,0.016592107275442525,0.014566597301483073
7.627598903000001,0.01651508940524227,0.014783877257428182
7.674186309,0.016369410003249804,0.014868651770687863
7.723299383,0.015758102635764392,0.014562677466330243
7.769812588000001,0.01558170182525089,0.012154787025674553
7.815675992,0.01627855615532179,0.010071098638020137
7.861021243000001,0.016335357510389767,0.008428204309683293
7.908169522000001,0.01603509981344334,0.008318855066204908
7.954987786,0.016038551244989825,0.008285798718365048
8.000569165,0.01613396956156607,0.008368296047989677
8.045495112000001,0.0164561784973739,0.010272004158798462
8.095535152,0.015632637000079747,0.01214446981661028
8.142645319,0.015457221121649174,0.014477402547357797
8.188324434,0.016110221565649785,0.014505559838945315
8.234524776,0.016152179511866566,0.014450861970852677
8.279939469,0.016370496346750522,0.014526231338127839
8.324768312,0.01645770425575753,0.01462487932886356
8.37163121,0.016246398837977103,0.014412899128216146
8.41606797,0.016424013472277663,0.014586907214299522
8.465740794,0.01573456278196332,0.014193442282511553
8.512259881,0.015513563578351814,0.01428805371997759
8.557309462000001,0.01627611307955391,0.01460855003804261
8.603702219,0.016102491560123375,0.014534227246199129
8.649850453,0.016091107773162354,0.014497589473790352
8.695149026000001,0.016098693293608232,0.014594160790313986
8.741813348,0.016015909985838142,0.01463587224150792
8.790389183,0.015590972211934534,0.014383075127914808
8.836543428,0.0156633320351755,0.01450278595893064
8.880957174,0.0163425027633588,0.014699103519656642
8.926729535,0.01628262980767077,0.014671135721021394
8.972751108,0.016227385125050058,0.014608082545957517
9.018964996,0.01603836183204162,0.012230253568418514
9.064270312,0.016209652020513218,0.010213791096209426
9.10979797,0.016219295242054618,0.008505137397549798
9.160243639,0.015549715105753138,0.008102971123834112
9.204356124,0.015592048056273169,0.008312967835146484
9.24943448,0.016280941821894976,0.008447443696210193
9.296458533,0.016098233703802117,0.008358018289169662
9.34165341,0.016101661899497896,0.008446419074674714
9.388135476,0.016099906667506297,0.008416214295549609
9.432565102,0.016231335787428733,0.010384709563293291
9.478604169,0.01614820085383539,0.01267753592485282
9.52964705,0.015116185111871133,0.014675749371063423
9.576651777,0.015155946574660701,0.012384053240392885
9.624742062,0.01545256318530198,0.010008096919679858
9.669544034,0.015809834207059607,0.008541736389866496
9.715389484,0.015997243700856617,0.008474993675863324
9.761896207,0.01591077398635261,0.008386828489570395
9.806299082,0.016141314003124782,0.008503866905067216
9.853276928,0.015944694124683398,0.01022963118369585
9.902695411,0.015161635721599032,0.012152692307267144
9.947880448,0.015486324268658702,0.014694445266241337
9.993824806,0.015890726674515243,0.014679175066857753
10.039239078,0.016085858705208747,0.014653133722778827
10.084547951,0.0161794942292914,0.014658086202141068
10.130264205,0.016044985851590265,0.012613479015779703
10.180400248,0.015277306035504886,0.00994441449680863
10.225847453,0.015248463347151036,0.008466156557104323
10.271792682,0.01584832222570061,0.010142731884823352
10.317928512,0.01573510616193758,0.012203936187331057
10.362997009,0.01591304771120365,0.01460179700663323
10.410282388,0.01574080810349607,0.01440025536052768
10.454977397,0.01593054795227902,0.014592235972129238
10.5011938,0.015841944520857847,0.014544854585274427
10.550331841,0.015224653179064454,0.01431546057432625
10.596333256,0.015130069006777705,0.014563014192287251
10.642787279,0.015700421227437963,0.01474192862450302
10.688776972,0.015689937174566217,0.012583846554478941
10.735820603,0.01555977818533545,0.010359299233794148
10.782483933,0.015570004627056646,0.008574768232796055
10.829179885,0.01555505588929073,0.010236338433410113
10.875493402,0.015581153913165863,0.012403862810718036
10.922571698,0.015479054314797475,0.014714231942341435
10.97407896,0.014654814435569636,0.014221259020685599
11.02140186,0.014712464597391605,0.014316177539030797
11.06695164,0.015396614365230989,0.014681173573563407
11.112967502,0.01574109290511845,0.014715970838833872
11.158684639,0.015864628416070156,0.014796499270721115
11.205251847,0.015671542169061838,0.014742327131386491
11.250608971,0.015680757653045017,0.01501739457724729
