t_s,curvature,wheel_ate,ekf_ate
0.0,0.00023230286223530072,0.01917954471277557,0.02419985312656925
0.043464046,0.00023230286223530072,0.01918470881161128,0.022666398054413377
0.088627673,0.012553282547500544,0.020085942898597345,0.022112975907603874
0.133897181,0.005109666116265288,0.022015429291126272,0.022674831109196616
0.178981227,0.009683369419777321,0.019687106018959677,0.017979147788881933
0.224065153,0.006137564282271413,0.017590077322437357,0.014412255183453257
0.268982924,0.007209152040310585,0.016479665878971067,0.012058787944467119
0.314388029,0.008449496620110963,0.016165446288216784,0.012587708993907442
0.359371405,0.0044532214545700555,0.016588181680763717,0.013962533187783463
0.408395399,0.019184986651765712,0.01679073773137751,0.015300823895663718
0.453056564,0.012860253028668112,0.01736371726026575,0.012935113061916064
0.497916455,0.011651185218308768,0.01806689786428541,0.010612515261371452
0.543401923,0.004338108143420172,0.018027691494047746,0.00851008690406013
0.589129258,0.003116954336324085,0.018007645028207977,0.01019016790298575
0.634296182,0.01084547443732653,0.01795745557656727,0.012323966929105024
0.679002011,0.017059949626130333,0.018084776440105567,0.01467895726536558
0.72903569,0.0029224109955094946,0.017418258085462615,0.014086879186727347
0.7736503760000001,0.01628959979069755,0.017421030525014324,0.014327054469022682
0.8192832430000001,0.0023259660302255014,0.017853584389778448,0.014405759338999817
0.865474107,0.015669219013192404,0.017859329279363192,0.011903547300280407
0.910326735,0.00845899652692772,0.01790512343238083,0.009851365690841829
0.956832586,0.008321394161248108,0.017905996105597666,0.007902119848856302
1.002548591,0.0018164510585894078,0.01774531476147007,0.007902949971950833
1.050672268,0.014254652108158794,0.01742341313391335,0.007698368116408473
1.095018316,0.00466811426993452,0.0175359971090545,0.007848406857927344
1.1407946450000002,0.007787304910245041,0.01791666058151447,0.009586324005267403
1.187046605,0.013445499680475592,0.017700681176550825,0.011734471020437934
1.232245258,0.0012901921340180422,0.017637350728506786,0.014211884692967127
1.277167077,0.013110369899882457,0.017787123205540652,0.011905356805258789
1.322817137,0.006978451685668574,0.017944502768949298,0.009561568931231168
1.368107945,0.006790829553171562,0.017905684622266754,0.007747501350457321
1.416943121,0.006586553725806965,0.017282901153488385,0.009239124606497822
1.46089931,0.004561302230410291,0.017472440861575497,0.011609777619467266
1.506042158,0.012118020490037296,0.01793337976420846,0.014145181185485932
1.551563934,0.0009121603803396994,0.017904330935107664,0.014055337245544364
1.595949065,0.011636156622918392,0.01788703964166787,0.014115532005419533
1.6404424320000002,0.0007073277955349511,0.01800611028517648,0.014152713023324376
1.68538513,0.006058250349161298,0.01803510148863736,0.014405419833365643
1.7313494150000002,0.01126737566261582,0.01779429224343017,0.01450059880588542
1.77988274,0.0005398850311699732,0.017284232072994662,0.014191522178244554
1.824766537,0.005747921317000859,0.017312728304463985,0.014205570825948933
1.86978555,0.0005842139297218552,0.01779499380755939,0.014195589354705433
1.914521196,0.0006148274193762404,0.017816021583857033,0.014233334674996725
1.9595618,0.010764223166415121,0.01780396605730131,0.014221183252246195
2.004406663,0.005464841026370237,0.017840503259251374,0.014240881345643617
2.049897981,0.004554173575366249,0.017772133585412558,0.014155533334970249
2.0952532120000003,0.0055532091252530336,0.01768888509029167,0.014317480838771863
2.143549747,0.005362826516330799,0.01720679166161524,0.014017739671446374
2.189473114,0.010261482112383646,0.017025837770448395,0.01409152510998273
2.2348790910000003,0.0004141541403157589,0.01752522222747943,0.014132125949166475
2.2799747900000003,0.00034233335912681184,0.01763728675243348,0.01422239189301707
2.325554285,0.009990548792560006,0.017677387388701064,0.0142354901361455
2.370745775,0.005120437029626501,0.017628956796089692,0.01439335060602867
2.4154830840000003,0.0003270306418112767,0.01768862818307012,0.014625383851896972
2.464203774,0.0003581811476305319,0.017149273744192933,0.014222856722728602
2.509999559,0.005227896773707386,0.017023988531728054,0.011988643534172127
2.556042062,0.005069001551438745,0.01736391471623432,0.009876423736305684
2.602410684,0.00047354946559607924,0.01729797710233183,0.00808030437234881
2.64832322,0.005104433119162977,0.017312978288483563,0.009718563845099986
2.6941670770000004,0.0095789544122038,0.017353807279678633,0.01182473031915998
2.7395456520000003,0.0004844557783378889,0.0174688225425509,0.014192168595560216
2.78483626,0.004820480185419029,0.01756258982419066,0.014489155710506622
2.834634482,0.004916366976237541,0.01691638621784865,0.014069636031225763
2.8804417090000003,0.0047936694961059345,0.016855400905944187,0.014271346211431508
2.9265886400000003,0.004363734433532329,0.017340891354694788,0.014172612340987312
2.9720806690000003,0.025999011682431572,0.017364144194732537,0.014182873617153102
3.017175256,0.05896721530702642,0.017445241540107882,0.014195601941366818
3.062450735,0.01076081940785123,0.017496892424615537,0.014285193383700164
3.10784544,0.01785599781212177,0.01743478799369976,0.014268599463001982
3.153753448,0.028405009808851744,0.01722219605265782,0.014245870909912252
3.202906668,0.0017178871332568235,0.01680959590152108,0.013825876017306402
3.247979062,0.004777526282762068,0.016955194270454884,0.014105645072873624
3.2940830620000003,0.004370158146871361,0.0173381093725386,0.01422337775268883
3.339148653,0.0035054752392404964,0.017395155400605405,0.014368780651794989
3.3843799490000004,0.0037007492402096887,0.01745115804345396,0.014470603025228873
3.4301995190000003,0.0031348187365498603,0.017240860994853228,0.014489893041701852
3.476786805,0.007237799920511989,0.017177118147535198,0.014488466079528682
3.5255083770000004,0.007568786765865809,0.01671709177293335,0.0141721887667836
3.5723743700000004,0.0028942877580373505,0.016671498173269204,0.01409939465116455
3.617840461,0.010358565675572251,0.017098503680107447,0.011951648773727402
3.66377502,0.005763227084720768,0.017051844025786793,0.009893265145761594
3.71060229,3.385916946818668e-05,0.016932576476995233,0.008072602402405964
3.75710199,0.009166094248191925,0.016906374361687772,0.008095725853827658
3.803167967,0.00019008210383475443,0.01713061624410293,0.008210504970168352
3.852334502,0.004241699408380484,0.016523966415044274,0.008030130196299867
3.897517145,7.051107182576288e-05,0.0166418359571772,0.008160055964580049
3.945157808,2.4887961158626126e-05,0.01693163191633746,0.008052692586769428
3.990674765,2.9270501800127136e-05,0.0169650484448599,0.008149075520210353
4.036661001000001,0.004249856247406925,0.017011233960880896,0.008118138486987699
4.082026441,0.0044007619549812915,0.01715400084928255,0.008144739134325833
4.127591730000001,0.004329007619219283,0.017161235785508173,0.008150646755739469
4.173054975,7.060592595031778e-05,0.017201376721071356,0.009950100228109956
4.221941028000001,4.798637522895888e-05,0.01664327066848961,0.01185918693486814
4.267494865000001,0.004262991948866812,0.01664335346203467,0.01429334609876451
4.3118996140000005,3.818038201153229e-05,0.01731779492634722,0.01441862721078352
4.357354463,5.454204496935233e-05,0.01725845797423373,0.014369536246732508
4.402442968,6.616776651036105e-05,0.017237265911633368,0.014379809680154017
4.446703503,4.992765352263007e-05,0.017400130345051428,0.012216200645318146
4.491809231,8.154975024154965e-05,0.017398425357978826,0.010047596857275574
4.536829486,4.851438042408063e-05,0.01737934217686758,0.008261877244655519
4.585955564000001,5.813481771532736e-05,0.016607881668466263,0.00974824498423554
4.6321940790000005,5.423833169260206e-05,0.016409274280429927,0.011943331017628624
4.6778906970000005,6.623695893992476e-05,0.016973136551338436,0.014429708921446498
4.7228538040000005,1.859856331165588e-05,0.017135241000240966,0.014522613908469062
4.769001146,5.543928436324563e-05,0.017044864545972673,0.014357703466811445
4.8142461270000005,0.00425631823159911,0.017086788382251764,0.014338578937964457
4.860145489000001,0.004582301162603386,0.016915263833756577,0.014496821253471927
4.909625838,0.004230941100713537,0.01631733449658572,0.014102161329331836
4.954407742,0.004411547463645249,0.01649732219026575,0.01443560069762425
5.001468876000001,3.286400351854013e-05,0.016801286596648046,0.014224993333121532
5.046490675,0.0008281936372256382,0.01685936556416549,0.01433174783142662
5.091552619000001,0.0005146933260480324,0.017031757631009704,0.014435796393120906
5.136605927000001,0.005175882629870898,0.017104530079063887,0.014504938634300359
5.1814837030000005,0.004608228318003782,0.017210764891078128,0.014599954824145948
5.227809873,4.947518617015589e-06,0.01708809669390799,0.014462105347470175
5.276644329000001,0.004364492584985058,0.01633941389789248,0.011778546831172689
5.322399106000001,3.535331241089068e-05,0.016379940628801402,0.009884371101255375
5.368384241,0.00022202924379044475,0.016685774819513697,0.008276102566340008
5.414664505,0.004457772199506493,0.016701569325191123,0.009974979142408332
5.461494611,0.004503498459795807,0.016560738518029392,0.012074580613597485
5.508411491,0.004133733280031748,0.01643711534690985,0.014373712246134802
5.553139082,0.0044574587358958695,0.016848368956282264,0.012439639874153929
5.598557021,3.714173892888084e-05,0.01697409644364226,0.010509969462655889
5.6481802320000005,5.5284741984351626e-05,0.01635875775051705,0.008258729312893667
5.693191991,0.0003966402132515867,0.01640127025155463,0.009972731603236074
5.739805216000001,0.004590785729341462,0.01683040880121593,0.01202047817690855
5.784745831,1.6507507805130217e-06,0.016865995634844148,0.014449128725732134
5.830590499,3.262712637841503e-05,0.016866233519449443,0.014505193976819201
5.8757619210000005,0.003290537652311798,0.016801973738572534,0.014482590928324886
5.922724658000001,0.021239578087062227,0.01663757460642651,0.014400992909164271
5.968766530000001,0.017060434371618527,0.016533650145137573,0.014492930555572055
6.017696787,0.0005927142131323393,0.016007749313879514,0.01421429577162886
6.062629387,0.01840618857031906,0.016339008862756264,0.014514195960992838
6.108144099,0.003919571797839083,0.01679287857731785,0.014479263396686306
6.1533421420000005,0.004338314090146511,0.016869049931714987,0.014494353613429952
6.198716779000001,0.00013169510819643904,0.01682848284188137,0.014482502710335354
6.244655135,0.00418201817606878,0.016811468181035703,0.012293096520930675
6.293492576,8.381976877025465e-05,0.016195709905303775,0.009774428924651116
6.3376206,0.00012807060554287375,0.016281469308946684,0.008410946390954197
