t_s,wheel_cte,wheel_ale,ekf_cte,ekf_ale
0.0,0.010803675339603618,0.01584725637281728,0.006610788271640427,0.023279397968484168
0.043464046,0.010802613736378261,0.01585422936155924,0.0066090595074274165,0.021681465199298634
0.088627673,0.010810131543135244,0.016928855783715138,0.006615417823067877,0.021100235792912488
0.133897181,0.010778281419355905,0.019196556371332538,0.006583233218186222,0.021698133703744203
0.178981227,0.010806786133011169,0.016455865728581886,0.006629303309468529,0.01671233355475912
0.224065153,0.010752934442293435,0.013920676028450074,0.006595772053078462,0.012814401683137779
0.268982924,0.010741832704569111,0.012497696492937116,0.006604259676466469,0.01008950547923061
0.314388029,0.010722870522608572,0.012097177416761069,0.006605599041094234,0.010715245168618086
0.359371405,0.010705531173596444,0.012671202538243156,0.006607584553795313,0.012300087779540447
0.408395399,0.010686162673918963,0.01295124707780859,0.0066082495851388185,0.013800226422295633
0.453056564,0.010669272682734349,0.013699098419819802,0.0066121626232077246,0.011117394270637626
0.497916455,0.01065241777110066,0.014592422488005873,0.006617585008735449,0.008296568496975229
0.543401923,0.010634773490157838,0.014556759715595967,0.006624978433251123,0.005341464206901816
0.589129258,0.010617414991386,0.01454461337962049,0.006627697930435259,0.007740358004249234
0.634296182,0.010599290667263686,0.01449569757325407,0.006630409906277197,0.010388350463110858
0.679002011,0.01058057422624214,0.01466664883098992,0.00663228579119053,0.013095211780738834
0.72903569,0.010561387611174674,0.013851094052756627,0.006636137516551751,0.012425853857295542
0.7736503760000001,0.010541656900115033,0.013869598925482235,0.006638475745123356,0.012696264393109955
0.8192832430000001,0.01052516465533402,0.014421213005189552,0.006643624688720622,0.012782337545558804
0.865474107,0.010505968285273252,0.01444230842689464,0.006647526746707313,0.009874453224448625
0.910326735,0.01048755489689497,0.01451222372393037,0.0066529673263042936,0.0072654959727346214
0.956832586,0.010469065555752988,0.01452664320904954,0.006659885673841674,0.004253165987478876
1.002548591,0.010450893080947071,0.014341374752591196,0.00666251000301791,0.004250597454340267
1.050672268,0.010430676264789182,0.013956228641513,0.00666561535548064,0.0038515508030552087
1.095018316,0.010414318491467326,0.014108620236119817,0.006669957987429942,0.0041363209079422845
1.1407946450000002,0.010396679648728983,0.01459163385899259,0.0066714405072150025,0.006884002432644609
1.187046605,0.010376829831627016,0.014339997097606274,0.00667271738193945,0.009652598244527784
1.232245258,0.010358892581223335,0.014274784944475871,0.006675053243740214,0.012546765747371973
1.277167077,0.01033982710857117,0.014473069035071295,0.006678164629281078,0.009855944289855787
1.322817137,0.010320957226849324,0.014679339956087119,0.0066824656298988495,0.0068387318657705636
1.368107945,0.010301775288423522,0.014645373593695263,0.006687733005983752,0.00391126634429484
1.416943121,0.01028132992590061,0.013892189432772314,0.006689300730863517,0.006372964712475846
1.46089931,0.010264498983703355,0.01413952793677377,0.006691923167788005,0.009487101806658614
1.506042158,0.010245928288383579,0.01471825612213018,0.006693285144665233,0.012461383741079033
