Estimator,Phase,ATE_RMSE_m,ATE_Mean_m,Yaw_Mean_rad,Yaw_Max_rad,Samples
wheel,GLOBAL (1-3),0.541066621075492,0.4539520053690971,0.1815527163538365,0.33049610846004596,3279
ekf,GLOBAL (1-3),0.5617294344848547,0.4712240987928278,0.09977387139650154,0.2547246621336461,3279
wheel,square,0.3466619817311557,0.2694971681018056,0.1163781387888968,0.2675906797018319,1968
ekf,square,0.3623517687234265,0.2797941513138103,0.0610456479474927,0.1854019260671244,1968
wheel,straight,0.6402399194648837,0.6246082945651706,0.2632550609300403,0.270675398062183,579
ekf,straight,0.6699262447127222,0.6557885229889733,0.2321061873742696,0.2547246621336461,579
wheel,cw_rotation,0.8149035783508398,0.8148770440268881,0.2921509556136441,0.3304961084600459,732
ekf,cw_rotation,0.8399222532913303,0.8399007859911041,0.0992229599163396,0.2203288824220997,732
