t_s,wheel_cte,wheel_ale,ekf_cte,ekf_ale,orb_cte,orb_ale
0.0,0.010803675339603618,0.01584725637281728,0.006610788271640427,0.023279397968484168,-0.06230107579968026,-0.02667666595976004
0.043464046,0.010802613736378261,0.01585422936155924,0.0066090595074274165,0.021681465199298634,-0.06217314324672546,-0.026893648443840745
0.088627673,0.010810131543135244,0.016928855783715138,0.006615417823067877,0.021100235792912488,-0.0621578327570265,-0.0264121987806616
0.133897181,0.010778281419355905,0.019196556371332538,0.006583233218186222,0.021698133703744203,-0.06259029178792232,-0.02562608445892937
0.178981227,0.010806786133011169,0.016455865728581886,0.006629303309468529,0.01671233355475912,-0.061859548720672786,-0.02389316327506775
0.224065153,0.010752934442293435,0.013920676028450074,0.006595772053078462,0.012814401683137779,-0.061364018930230496,-0.03369219294046319
0.268982924,0.010741832704569111,0.012497696492937116,0.006604259676466469,0.01008950547923061,-0.06106001322398505,-0.03674325471558503
0.314388029,0.010722870522608572,0.012097177416761069,0.006605599041094234,0.010715245168618086,-0.061716737394242556,-0.03707767842002719
0.359371405,0.010705531173596444,0.012671202538243156,0.006607584553795313,0.012300087779540447,-0.06094120856347688,-0.03693819920206179
0.408395399,0.010686162673918963,0.01295124707780859,0.0066082495851388185,0.013800226422295633,-0.060165894659021495,-0.03955760842350488
0.453056564,0.010669272682734349,0.013699098419819802,0.0066121626232077246,0.011117394270637626,-0.059671587427513904,-0.040550967621903126
0.497916455,0.01065241777110066,0.014592422488005873,0.006617585008735449,0.008296568496975229,-0.059269150363380284,-0.037694778247002264
0.543401923,0.010634773490157838,0.014556759715595967,0.006624978433251123,0.005341464206901816,-0.05899546073264344,-0.03788082848400951
0.589129258,0.010617414991386,0.01454461337962049,0.006627697930435259,0.007740358004249234,-0.05861319425268791,-0.038264507185626684
0.634296182,0.010599290667263686,0.01449569757325407,0.006630409906277197,0.010388350463110858,-0.05822030993338386,-0.0314738983421395
0.679002011,0.01058057422624214,0.01466664883098992,0.00663228579119053,0.013095211780738834,-0.05758451744373381,-0.031221369078551418
0.72903569,0.010561387611174674,0.013851094052756627,0.006636137516551751,0.012425853857295542,-0.05871298104967126,-0.037406288859427046
0.7736503760000001,0.010541656900115033,0.013869598925482235,0.006638475745123356,0.012696264393109955,-0.05850389252030558,-0.037357434114711825
0.8192832430000001,0.01052516465533402,0.014421213005189552,0.006643624688720622,0.012782337545558804,-0.05701350538509532,-0.03902680537436479
0.865474107,0.010505968285273252,0.01444230842689464,0.006647526746707313,0.009874453224448625,-0.05709526900340323,-0.041447945720033554
0.910326735,0.01048755489689497,0.01451222372393037,0.0066529673263042936,0.0072654959727346214,-0.05659876191556563,-0.035548960493227554
0.956832586,0.010469065555752988,0.01452664320904954,0.006659885673841674,0.004253165987478876,-0.054699964298846444,-0.033291221762329334
1.002548591,0.010450893080947071,0.014341374752591196,0.00666251000301791,0.004250597454340267,-0.05614784549040847,-0.03481478608145705
1.050672268,0.010430676264789182,0.013956228641513,0.00666561535548064,0.0038515508030552087,-0.056516315936673354,-0.03738637571985129
1.095018316,0.010414318491467326,0.014108620236119817,0.006669957987429942,0.0041363209079422845,-0.055068803074370884,-0.03791012272474341
