t_s,wheel_ate,ekf_ate,orb_ate
0.0,0.01917954471277557,0.02419985312656925,0.06777218125843468
0.043464046,0.01918470881161128,0.022666398054413377,0.06774044632122483
0.088627673,0.020085942898597345,0.022112975907603874,0.06753665980398837
0.133897181,0.022015429291126272,0.022674831109196616,0.06763313411925723
0.178981227,0.019687106018959677,0.017979147788881933,0.0663135507963066
0.224065153,0.017590077322437357,0.014412255183453257,0.0700050475637799
0.268982924,0.016479665878971067,0.012058787944467119,0.07126283731376117
0.314388029,0.016165446288216784,0.012587708993907442,0.07199798546910079
0.359371405,0.016588181680763717,0.013962533187783463,0.07126192153926518
0.408395399,0.01679073773137751,0.015300823895663718,0.07200513359690276
0.453056564,0.01736371726026575,0.012935113061916064,0.07214623566889732
0.497916455,0.01806689786428541,0.010612515261371452,0.07024050463861757
0.543401923,0.018027691494047746,0.00851008690406013,0.07011006742039134
0.589129258,0.018007645028207977,0.01019016790298575,0.06999770746718927
0.634296182,0.01795745557656727,0.012323966929105024,0.06618316074040742
0.679002011,0.018084776440105567,0.01467895726536558,0.06550382077685858
0.72903569,0.017418258085462615,0.014086879186727347,0.06961641034967224
0.7736503760000001,0.017421030525014324,0.014327054469022682,0.06941385541563372
0.8192832430000001,0.017853584389778448,0.014405759338999817,0.0690914707762459
0.865474107,0.017859329279363192,0.011903547300280407,0.07055353957798167
0.910326735,0.01790512343238083,0.009851365690841829,0.06683672974139247
0.956832586,0.017905996105597666,0.007902119848856302,0.06403429972072519
1.002548591,0.01774531476147007,0.007902949971950833,0.06606549691868213
1.050672268,0.01742341313391335,0.007698368116408473,0.06776308033523687
1.095018316,0.0175359971090545,0.007848406857927344,0.0668561925108583
1.1407946450000002,0.01791666058151447,0.009586324005267403,0.06334937502961141
1.187046605,0.017700681176550825,0.011734471020437934,0.05899730836366445
1.232245258,0.017637350728506786,0.014211884692967127,0.05245155000730108
1.277167077,0.017787123205540652,0.011905356805258789,0.06448855408697594
1.322817137,0.017944502768949298,0.009561568931231168,0.06341119972620524
1.368107945,0.017905684622266754,0.007747501350457321,0.06339075248926816
1.416943121,0.017282901153488385,0.009239124606497822,0.0646206230171894
1.46089931,0.017472440861575497,0.011609777619467266,0.06341953750393388
1.506042158,0.01793337976420846,0.014145181185485932,0.06363522014107872
1.551563934,0.017904330935107664,0.014055337245544364,0.060156558022037454
1.595949065,0.01788703964166787,0.014115532005419533,0.06091250864376313
1.6404424320000002,0.01800611028517648,0.014152713023324376,0.06305059849182329
1.68538513,0.01803510148863736,0.014405419833365643,0.06433743164992128
1.7313494150000002,0.01779429224343017,0.01450059880588542,0.06170593673155374
1.77988274,0.017284232072994662,0.014191522178244554,0.06028262885215634
1.824766537,0.017312728304463985,0.014205570825948933,0.05866706719837805
1.86978555,0.01779499380755939,0.014195589354705433,0.059367459550780134
1.914521196,0.017816021583857033,0.014233334674996725,0.061054575283931975
1.9595618,0.01780396605730131,0.014221183252246195,0.059837143310513825
2.004406663,0.017840503259251374,0.014240881345643617,0.06158459890795525
2.049897981,0.017772133585412558,0.014155533334970249,0.05848445988599885
2.0952532120000003,0.01768888509029167,0.014317480838771863,0.05739691046765455
2.143549747,0.01720679166161524,0.014017739671446374,0.05938338140667471
2.189473114,0.017025837770448395,0.01409152510998273,0.058940146951319196
2.2348790910000003,0.01752522222747943,0.014132125949166475,0.05585374733175218
2.2799747900000003,0.01763728675243348,0.01422239189301707,0.05486616403890074
2.325554285,0.017677387388701064,0.0142354901361455,0.05769747128540809
2.370745775,0.017628956796089692,0.01439335060602867,0.05947624460953864
2.4154830840000003,0.01768862818307012,0.014625383851896972,0.05912027044987033
2.464203774,0.017149273744192933,0.014222856722728602,0.05612842945026097
2.509999559,0.017023988531728054,0.011988643534172127,0.0549556640157082
2.556042062,0.01736391471623432,0.009876423736305684,0.0536996136542862
2.602410684,0.01729797710233183,0.00808030437234881,0.0593278071340358
2.64832322,0.017312978288483563,0.009718563845099986,0.056264366203746446
2.6941670770000004,0.017353807279678633,0.01182473031915998,0.05602545647163546
2.7395456520000003,0.0174688225425509,0.014192168595560216,0.05312647873625934
2.78483626,0.01756258982419066,0.014489155710506622,0.05484718123208874
2.834634482,0.01691638621784865,0.014069636031225763,0.05617651177776842
2.8804417090000003,0.016855400905944187,0.014271346211431508,0.05350194304063463
2.9265886400000003,0.017340891354694788,0.014172612340987312,0.05236888024169677
2.9720806690000003,0.017364144194732537,0.014182873617153102,0.05011572111248884
3.017175256,0.017445241540107882,0.014195601941366818,0.047761849394738196
3.062450735,0.017496892424615537,0.014285193383700164,0.05304321199126559
3.10784544,0.01743478799369976,0.014268599463001982,0.053362353477905876
3.153753448,0.01722219605265782,0.014245870909912252,0.050483806588807044
3.202906668,0.01680959590152108,0.013825876017306402,0.051281866538391924
3.247979062,0.016955194270454884,0.014105645072873624,0.05046178962361645
3.2940830620000003,0.0173381093725386,0.01422337775268883,0.05028248195233429
3.339148653,0.017395155400605405,0.014368780651794989,0.04685565700831462
3.3843799490000004,0.01745115804345396,0.014470603025228873,0.045894138813064964
3.4301995190000003,0.017240860994853228,0.014489893041701852,0.04543476933833754
3.476786805,0.017177118147535198,0.014488466079528682,0.04228458550392531
3.5255083770000004,0.01671709177293335,0.0141721887667836,0.04439021424731633
3.5723743700000004,0.016671498173269204,0.01409939465116455,0.046572147280113864
3.617840461,0.017098503680107447,0.011951648773727402,0.04521823116558542
3.66377502,0.017051844025786793,0.009893265145761594,0.04611088504921728
3.71060229,0.016932576476995233,0.008072602402405964,0.04747899277930383
3.75710199,0.016906374361687772,0.008095725853827658,0.047496410185269164
3.803167967,0.01713061624410293,0.008210504970168352,0.044778541435151045
3.852334502,0.016523966415044274,0.008030130196299867,0.04793939374833412
3.897517145,0.0166418359571772,0.008160055964580049,0.04661661943541509
3.945157808,0.01693163191633746,0.008052692586769428,0.049959622456199726
3.990674765,0.0169650484448599,0.008149075520210353,0.05102513539145141
4.036661001000001,0.017011233960880896,0.008118138486987699,0.0505676334494645
4.082026441,0.01715400084928255,0.008144739134325833,0.048454445428675254
4.127591730000001,0.017161235785508173,0.008150646755739469,0.05111043357647153
4.173054975,0.017201376721071356,0.009950100228109956,0.049422117728229686
4.221941028000001,0.01664327066848961,0.01185918693486814,0.04697642067557483
4.267494865000001,0.01664335346203467,0.01429334609876451,0.04821295613758695
4.3118996140000005,0.01731779492634722,0.01441862721078352,0.049508636686312085
4.357354463,0.01725845797423373,0.014369536246732508,0.046981920346715354
4.402442968,0.017237265911633368,0.014379809680154017,0.048264365090370354
4.446703503,0.017400130345051428,0.012216200645318146,0.0463715223696106
4.491809231,0.017398425357978826,0.010047596857275574,0.04471784096108679
4.536829486,0.01737934217686758,0.008261877244655519,0.04551117096871595
4.585955564000001,0.016607881668466263,0.00974824498423554,0.044796178142921826
4.6321940790000005,0.016409274280429927,0.011943331017628624,0.04472494778315403
4.6778906970000005,0.016973136551338436,0.014429708921446498,0.0458237971155873
4.7228538040000005,0.017135241000240966,0.014522613908469062,0.04636411206508957
4.769001146,0.017044864545972673,0.014357703466811445,0.049442908072008344
4.8142461270000005,0.017086788382251764,0.014338578937964457,0.05151356895728756
4.860145489000001,0.016915263833756577,0.014496821253471927,0.04843429573908342
4.909625838,0.01631733449658572,0.014102161329331836,0.050328007054868944
4.954407742,0.01649732219026575,0.01443560069762425,0.04734450337806017
5.001468876000001,0.016801286596648046,0.014224993333121532,0.04940440761066313
5.046490675,0.01685936556416549,0.01433174783142662,0.049833074619231484
5.091552619000001,0.017031757631009704,0.014435796393120906,0.050139941604655125
5.136605927000001,0.017104530079063887,0.014504938634300359,0.046562480457882825
5.1814837030000005,0.017210764891078128,0.014599954824145948,0.04969214750129635
5.227809873,0.01708809669390799,0.014462105347470175,0.05009672799358785
5.276644329000001,0.01633941389789248,0.011778546831172689,0.046226761020043486
5.322399106000001,0.016379940628801402,0.009884371101255375,0.04837881925241016
5.368384241,0.016685774819513697,0.008276102566340008,0.04870724396786424
5.414664505,0.016701569325191123,0.009974979142408332,0.04766150027923126
5.461494611,0.016560738518029392,0.012074580613597485,0.04796822137755334
5.508411491,0.01643711534690985,0.014373712246134802,0.04945561291450735
5.553139082,0.016848368956282264,0.012439639874153929,0.04932342227873238
5.598557021,0.01697409644364226,0.010509969462655889,0.04879054260651247
5.6481802320000005,0.01635875775051705,0.008258729312893667,0.049928089483452044
5.693191991,0.01640127025155463,0.009972731603236074,0.047616528021760945
5.739805216000001,0.01683040880121593,0.01202047817690855,0.047998616047426515
5.784745831,0.016865995634844148,0.014449128725732134,0.04902681121057841
5.830590499,0.016866233519449443,0.014505193976819201,0.04828803002077963
5.8757619210000005,0.016801973738572534,0.014482590928324886,0.046320656701547044
5.922724658000001,0.01663757460642651,0.014400992909164271,0.047407544727203835
5.968766530000001,0.016533650145137573,0.014492930555572055,0.047515620093599
6.017696787,0.016007749313879514,0.01421429577162886,0.047962351916630556
6.062629387,0.016339008862756264,0.014514195960992838,0.045084960393555834
