estimator,phase,N,drift_m,delta_yaw_rad,omega_var,jerk_var
wheel,ALL,4397,4.846549187192252,1.9085002006687546,0.16736092074526454,0.7057471928256788
wheel,0.0,89,0.00011899999968066479,-0.0002371732817030292,5.238314688809578e-07,0.0005312803479707825
wheel,1.0,590,5.076088894583858,0.019888673765731113,2.266810273658302e-05,0.02401229634884108
wheel,2.0,2101,1.2768263864736857,-0.27997675921111975,0.0776063520558525,0.7054271796295503
wheel,3.0,749,0.011672650882771689,0.07793900509690355,0.049217518808949624,0.0971960162292854
wheel,4.0,868,1.390865167347312,2.090920336196328,0.26717755748229394,1.7691762730935696
ekf,ALL,1487,4.852692136241235,1.8333914158492766,0.17235051345889002,0.04386473717418843
ekf,0,42,0.00021098972125049249,-0.002321037732351705,1.0891489163955631e-08,4.794160156148094e-08
ekf,1,199,5.175749364842967,0.014666991057025403,4.644824708942855e-06,4.359543824947686e-05
ekf,2,701,1.416545328330091,-0.27029099920791344,0.079164028215884,0.054389097106452865
ekf,3,253,0.010240656842146987,0.10717179594721005,0.04721797990587662,0.022079079600755565
ekf,4,292,1.4662702833055616,1.9839034908942361,0.2946745790977227,0.07400865261877441
