timestamp,x,y,yaw,omega_z,phase,t_rel
1772293033151332202,-6.999999974887877e-06,5.929332035504004e-10,-0.0001694094869312,-0.0101645690125847,unknown,0.0
1772293033225583216,-1.3999999893524584e-05,1.660212967082276e-09,-0.000135527589545,0.0020329136805421,unknown,0.074251014
1772293033268793176,-2.099999986841245e-05,2.253146170632676e-09,-3.3881897386253695e-05,0.0060987410416263,unknown,0.11746097400000001
1772293033347377982,-2.099999986841245e-05,2.253146170632676e-09,-3.3881897386253695e-05,0.0,unknown,0.19604578
1772293033482875336,-3.4999999836268935e-05,3.201839296721723e-09,-0.0001016456921587,-0.0040658273610842,unknown,0.331543134
1772293033513392729,-3.4999999836268935e-05,3.201839296721723e-09,-0.0001016456921587,0.0,unknown,0.362060527
1772293033613684300,-4.899999976394601e-05,4.624878984493939e-09,-0.0001016456921587,2.2139291138698048e-18,unknown,0.46235209800000004
1772293033645413248,-4.899999976394601e-05,4.624878984493939e-09,-0.0001016456921587,0.0,unknown,0.494081046
1772293033734777556,-5.599999973883388e-05,5.217812188044339e-09,-6.776379477250731e-05,0.0020329136805421,unknown,0.5834453540000001
1772293033794813503,-6.999999970669036e-05,6.166505314133386e-09,-6.776379477250736e-05,-2.2139292467055495e-18,unknown,0.643481301
1772293033855566270,-6.999999970669036e-05,6.166505314133386e-09,-6.776379477250738e-05,0.0,unknown,0.704234068
1772293033884482332,-7.699999968157824e-05,6.759438517683787e-09,-0.0001016456921587,-0.0020329138025169,unknown,0.7331501300000001
1772293033975045040,-8.399999965646612e-05,7.3523717212341875e-09,-6.77637947725074e-05,0.0020329136805421,unknown,0.8237128380000001
1772293034004760841,-9.099999963135398e-05,7.945304924784588e-09,-0.0001016456921587,-0.0020329138025169,unknown,0.8534286390000001
1772293034097442898,-9.799999960624186e-05,8.538238128334989e-09,-6.776379477250738e-05,0.0020329136805421,unknown,0.9461106960000001
1772293034157279102,-0.0001049999995811,9.131171331885391e-09,-0.0001016456921587,-0.0020329136805421,unknown,1.0059469
1772293034217507997,-0.000111999999556,9.72410453543579e-09,-6.776379477250743e-05,0.0020329138025169,unknown,1.0661757950000001
1772293034248702033,-0.000111999999556,9.72410453543579e-09,-6.776379477250744e-05,0.0,unknown,1.097369831
