phase,drift_improve_%,omega_var_improve_%,jerk_var_improve_%,abs_delta_yaw_improve_%
ALL,-0.12674892612700045,-2.981336796790215,93.78463880266214,3.9354873944031463
0,-77.30228724092733,97.9208028133127,99.99097621401873,-878.6252969498548
1,-1.963331855071449,79.50942448550498,99.8184453597601,26.254554578208456
2,-10.942673439125786,-2.0071503411350298,92.28990621895022,3.459487148325284
3,12.267942003973326,4.0626568576825575,77.2839665067435,-37.50726714301862
4,-5.421454050938947,-10.291665914810634,95.81677339085249,5.1181694227897125
