t_s,gt_x,gt_y,gt_yaw,est_x,est_y,est_yaw,est_x_al,est_y_al,est_yaw_al
0.0,-2.460126061576769e-05,1.792205839490377e-06,-0.0003201963496096,0.0,0.0,0.0,0.8349103789746843,-1.1980792833280747,0.1323390793685073
0.048252827000000005,-3.08751430289387e-05,4.223359572849565e-07,-0.0002718259837504,-5.194761674982764e-06,5.430720212493124e-10,3.083835817818681e-07,0.8349052295645694,-1.1980799682548027,0.1323393877520891
0.086123959,-3.74168733278301e-05,2.4460330066401985e-07,-0.0001808120079961,-9.27185968836576e-06,9.693009798601624e-10,5.504178015591776e-07,0.8349011880606346,-1.198080505818136,0.13233962978630887
0.16615164000000002,-4.434554506361754e-05,1.199422938222423e-06,-0.000171990172979,-1.751369927623969e-05,1.8063897667413946e-09,7.505062988855116e-07,0.834893018177591,-1.1980815925248796,0.1323398298748062
0.283058032,-5.100642446131069e-05,1.0813146332555996e-06,-0.0002238544449674,-2.5985825646844028e-05,2.422050455655449e-09,-1.929766613617545e-06,0.8348846200506203,-1.1980827098381763,0.1323371496018937
0.31536922900000003,-5.723517080255431e-05,9.631348996540412e-07,-0.0002272661056927,-2.8327396021965108e-05,2.5922099607461346e-09,-2.6705543891836214e-06,0.8348822989325844,-1.1980830186470397,0.13233640881411812
0.39907182300000005,-6.292743131979511e-05,9.640757855664407e-07,-0.0002228697109724,-3.4549673971587494e-05,3.054336500112805e-09,-5.225436408906603e-06,0.8348761310015225,-1.1980838392379918,0.1323338539320984
0.42580595200000004,-6.858973367361821e-05,8.458024687908686e-07,-0.0002247782751595,-3.726414975895746e-05,3.301078313029461e-09,-8.997466006022137e-06,0.83487344022867,-1.1980841971769782,0.13233008190250128
0.5147614070000001,-7.58019794237754e-05,4.297620787250546e-07,-0.0002085956253272,-4.629632839294171e-05,4.122089920908139e-09,-2.154856161462604e-05,0.8348644869194605,-1.1980853881873674,0.13231753080689268
0.5709246990000001,-8.2239158097071e-05,9.67267916348225e-07,-0.0002003944177917,-5.1998922865834e-05,4.640447279303751e-09,-2.9472874379710134e-05,0.8348588341203206,-1.1980861401487202,0.1323096064941276
0.6287971880000001,-8.86913480984812e-05,1.4451715665825996e-06,-0.0002076200821151,-5.9584407599601285e-05,5.28607420739819e-09,-4.753913797506115e-05,0.8348513148782,-1.1980871404371753,0.13229154023053225
0.657653711,-9.497981903967274e-05,1.207792390800218e-06,-0.0002108901826043,-6.415969567014098e-05,5.659722574443381e-09,-6.114053285655174e-05,0.8348467795473415,-1.1980877437903659,0.13227793883565075
0.7428423780000001,-0.0001011636308255,9.70395996317338e-07,-0.0002118462724314,-7.719976626009451e-05,6.733388363159327e-09,-9.970244219514868e-05,0.8348338533580175,-1.1980894634041899,0.13223937692631216
0.770396709,-0.0001073774312385,9.714230892026932e-07,-0.0002095447568874,-7.977150229139734e-05,6.977007701634809e-09,-0.00010656413553222777,0.8348313040772106,-1.198089802511314,0.13223251523297508
0.85749765,-0.0001135760904307,1.2108663078442864e-06,-0.0002096776780092,-8.790091861909122e-05,7.747103467233764e-09,-0.00012825437168872966,0.8348232456432333,-1.198090874449864,0.13221082499681858
