t_ns,x,y,yaw
1778742072825298600,-1.0898116141864117e-05,5.099402037349559e-13,-4.4134120784633515e-06
1778742072827312087,-2.71627753403905e-05,-2.0050144928461492e-10,-1.0007566476399887e-05
1778742072829883386,-5.2102528090133556e-05,-1.9627516636187276e-10,-1.5982652218582416e-05
1778742072832384902,-7.05430149791399e-05,-1.7161249137933987e-10,-2.3517796849503725e-05
1778742072834638526,-8.54401311814417e-05,-3.528125879517439e-10,-3.472514501767776e-05
1778742072837062365,-0.00010956831737457954,-3.000388192165262e-10,-4.443492153294315e-05
1778742072839168507,-0.0001273343921042288,-2.706509740631216e-10,-5.508331395365218e-05
1778742072841633073,-0.0001418676584873823,-4.940651559611162e-11,-6.379443905535354e-05
1778742072843607676,-0.00016580772303611538,6.479372802244857e-11,-6.941847538977086e-05
1778742072846657086,-0.00018346203723721628,6.655055462339577e-11,-7.697273907991686e-05
1778742072848405467,-0.00019793456021186402,-1.4984723593833724e-10,-8.715136863646222e-05
1778742072850671234,-0.0002218475383545575,-5.593968579036794e-11,-9.831075764532571e-05
1778742072853194713,-0.00023948176874524435,-4.957251124481956e-11,-0.00011055152984118523
1778742072855104321,-0.0002581604177617367,5.08721743858478e-10,-0.000119686817423581
1778742072868916018,-0.0002797770144068019,-1.1910467236736096e-10,-0.00012787703293692942
1778742072918863376,-0.00029546875533061176,-2.0304302772208584e-10,-0.00013755913178004064
1778742072968932687,-0.00030985904439768524,-4.657912522551748e-10,-0.0001385710107522087
1778742073019576803,-0.0003355294443228739,-5.521143448940426e-10,-0.00013127197189577447
1778742073084778376,-0.0003514867086324992,-7.367363750319257e-10,-0.00011794958621225148
1778742073118911072,-0.0003712923316376232,-8.625500179693588e-10,-0.0001059254532260745
1778742073168782616,-0.00038999005417387827,-1.0559238407128235e-09,-9.674330257514187e-05
1778742073218877886,-0.00040737296694683003,-1.147247315751879e-09,-8.7607713607607e-05
1778742073285071640,-0.0004320649561857728,-1.137515495751666e-09,-7.46942300771103e-05
1778742073318638688,-0.0004461871020623002,-1.2480638868903153e-09,-6.063499616182355e-05
1778742073368569815,-0.0004668473109640059,-1.0931569035406203e-09,-5.003718182994277e-05
1778742073434919206,-0.00048802992070475914,-1.3324117572840872e-09,-4.168482381716743e-05
1778742073468790433,-0.000497328660955646,-1.4550203638966141e-09,-3.5694637412486685e-05
1778742073518649644,-0.0005199748718599304,-1.9017594159695668e-09,-2.0485338944720155e-05
1778742073568537278,-0.0005439475821791542,-1.95638287905856e-09,-1.2886259034505798e-05
1778742073634855419,-0.0005615313956591287,-1.9942199763312014e-09,-8.027347676353712e-06
1778742073684797397,-0.0005811043913926016,-2.381301038902134e-09,-7.756864850883005e-06
1778742073718568033,-0.0005998770568762408,-2.237733163246969e-09,-6.34023553924834e-06
1778742073768425711,-0.0006157674317987167,-2.4238850956464563e-09,-9.224608450431048e-07
1778742073818562280,-0.0006361390818281307,-2.8722926264907985e-09,3.114684254956756e-06
1778742073868557169,-0.0006513959188892993,-3.1842441201416848e-09,6.621219965641245e-06
1778742073918409596,-0.0006772621240718103,-3.2530131112102406e-09,8.543520902737356e-06
1778742073968480740,-0.0006875446905831649,-3.0095592501666313e-09,9.84900885425688e-06
1778742074018504805,-0.000713738554088069,-3.420595988766847e-09,1.5792796023372805e-05
1778742074068547716,-0.0007294113883066436,-3.498628278027881e-09,1.819365250677052e-05
1778742074118504762,-0.0007417214751680082,-3.676097142039493e-09,1.9053389533230103e-05
1778742074185046409,-0.0007713697782178742,-3.735784247918426e-09,2.1157153393236428e-05
1778742074218296834,-0.0007853465352202319,-3.741841099976705e-09,2.3557748757951913e-05
1778742074268495481,-0.0008053677581069247,-4.028217503922887e-09,2.743365801149977e-05
1778742074318544844,-0.0008193372999411055,-3.6896168215328954e-09,3.072256438807486e-05
1778742074368598595,-0.0008413405216401221,-3.5211820425896846e-09,3.384010181539665e-05
1778742074418479386,-0.0008677025366061648,-3.7177136099810556e-09,3.6613306632737874e-05
1778742074468490787,-0.0008818820058892571,-3.924153626016382e-09,3.509123785372381e-05
1778742074534901324,-0.0009026982196952192,-4.1772831420481614e-09,2.6579225119505168e-05
1778742074568479293,-0.0009113300827149135,-3.945969641887427e-09,2.2670656677270525e-05
1778742074635127783,-0.0009395481641388978,-3.880725259595911e-09,7.33814761355589e-06
1778742074668541298,-0.0009545961542443247,-3.820997873930356e-09,-6.834521309784235e-06
1778742074718313292,-0.000977855197657128,-3.753107289003126e-09,-2.183289794865928e-05
1778742074784885457,-0.0009954445537264194,-3.6915622325834094e-09,-3.941245772942637e-05
1778742074818440993,-0.0010105354351349855,-3.6485461304101915e-09,-5.7755472002707364e-05
1778742074868505865,-0.0010338224770356128,-3.5303708771224664e-09,-7.557852977013724e-05
1778742074918308598,-0.001055181476772119,-2.9123537315355393e-09,-9.304954368438699e-05
1778742074968638415,-0.001065528699427822,-3.445609204852045e-09,-0.00010488945564635088
1778742075018504579,-0.0010846548154030426,-2.90205827066523e-09,-0.00012870695901634477
1778742075068361986,-0.0011074234223183215,-3.3296098265822062e-09,-0.00014532062362349052
1778742075118453569,-0.0011198078097764594,-3.1200409204784904e-09,-0.00015442617191796515
1778742075168477794,-0.0011460441214588963,-3.208737658526115e-09,-0.00016682950697743948
1778742075218325593,-0.0011634182783806905,-3.27426084812584e-09,-0.00017441315945410096
1778742075268377080,-0.0011833076054656164,-3.321054829640613e-09,-0.00018485455631012118
1778742075334852671,-0.0012037251832520345,-3.256901465134762e-09,-0.00019661060248443715
1778742075368370665,-0.0012230513742352623,-2.181035989255155e-09,-0.00020750610859909815
1778742075418562679,-0.001244028922337774,-3.0904183656216025e-09,-0.00021787770214798385
1778742075468424445,-0.0012598763673167352,-3.0161855074146583e-09,-0.00022967111549965222
1778742075535008903,-0.0012858778711600264,-2.8571259114839436e-09,-0.0002440319625809373
1778742075568384636,-0.0012999787791210188,-2.8143282842206323e-09,-0.00025079498133129263
1778742075618535803,-0.0013158483058161336,-2.7608034268664694e-09,-0.00026018229207158683
1778742075668404261,-0.0013279918960851457,-2.664662493634106e-09,-0.0002678063834853361
1778742075718550829,-0.0013559706163690478,-2.5350295398548287e-09,-0.00028746638537668906
1778742075768501143,-0.0013700727203514432,-2.488250664019278e-09,-0.0002977972132742757
1778742075818486123,-0.0013879697367408144,-2.580487500237518e-09,-0.0003177910510010485
1778742075868376102,-0.0014054065814168724,-1.421714301642227e-09,-0.00033072541980194714
1778742075918608373,-0.0014278002659293965,-1.958432152240726e-09,-0.00034306705013031896
1778742075968892824,-0.0014481073312986965,-1.7256117439679013e-09,-0.00035355931386904516
1778742076018457103,-0.0014635536661888502,-9.764495367014652e-10,-0.00036415343366025255
1778742076085134177,-0.0014836000704809306,-1.2504603711235553e-09,-0.0003738064774339023
1778742076118412455,-0.0014959771589264591,-1.1362826107650022e-09,-0.0003794591772674493
1778742076168430698,-0.001513379162312565,-1.2634446565811806e-09,-0.0003903841201449154
1778742076218380482,-0.0015415711811206565,-1.1931780202399437e-09,-0.000408445410727154
1778742076268616680,-0.0015603031541407025,8.871678996194402e-11,-0.0004248417523942116
1778742076318474628,-0.0015798932792481892,-7.858356461173473e-10,-0.00043878596295865435
1778742076368646635,-0.0016013644870219881,8.067700664942583e-10,-0.000451705246350187
1778742076418425031,-0.001616172790169456,3.076872276393434e-10,-0.0004641364540880488
1778742076468520772,-0.001630811197482746,-1.7299328016837824e-10,-0.00047614957978447947
1778742076518548734,-0.0016573260921202526,1.0516197775700393e-09,-0.0004868598235292509
1778742076568494510,-0.0016721519200100098,4.711237707892766e-10,-0.0004954818729836495
1778742076618732181,-0.001691863918317138,-3.4799196806873814e-10,-0.0005031583939913985
1778742076668823003,-0.0017059696401855297,-2.8739406478479055e-10,-0.0005088586331107869
1778742076718419292,-0.0017239189327958619,-6.289334961173658e-10,-0.0005233811863041281
1778742076768504393,-0.0017373085379186067,-5.112029328517057e-10,-0.000530275181615636
1778742076818753577,-0.001769319315783309,1.3868533551305088e-09,-0.0005446069674706067
1778742076868589753,-0.001784148194201549,7.256063950885318e-10,-0.0005536358221664982
1778742076918392516,-0.0018040598471629396,2.3972966967806434e-10,-0.0005634497408917305
1778742076968517242,-0.0018214254200136064,2.1538307720635248e-11,-0.0005725078442604392
1778742077018370812,-0.0018406797769745255,3.908780382351414e-10,-0.0005832045027109877
1778742077084816265,-0.0018617577304824579,8.443369634784275e-10,-0.0005943371639949292
1778742077118460991,-0.0018693233625915254,6.459145903295535e-10,-0.0006024877194121815
1778742077168632126,-0.0018965967704222078,1.3486664916803363e-09,-0.0006205627043045503
1778742077218712919,-0.0019177719791861158,1.829674898505647e-09,-0.0006377380314193105
1778742077268438174,-0.0019365341702985682,2.4141580303300024e-09,-0.0006552809060584863
1778742077318539967,-0.0019523058083637825,3.1567869119815975e-09,-0.0006728791245147471
1778742077368590372,-0.0019737280609514727,3.038814813261929e-09,-0.0006873714518418338
1778742077418536989,-0.00198129660321661,2.8006729722386285e-09,-0.0006963581677292829
1778742077468639002,-0.0020109338203179107,3.3086805462758674e-09,-0.0007141955282095047
1778742077518613051,-0.00202976296532167,3.6738637063031397e-09,-0.0007281890775416855
1778742077568478633,-0.002050789079785171,4.149773481371926e-09,-0.0007449605193081686
1778742077618585816,-0.0020670900394832953,4.037522769284543e-09,-0.0007642033570340878
1778742077668414288,-0.0020787835394910446,4.323230119767357e-09,-0.0007764117680957305
1778742077734955204,-0.0021001686534932837,4.472798590864478e-09,-0.0007976423913924613
1778742077784869930,-0.0021204572749821886,5.1177833777169276e-09,-0.0008104061197173884
1778742077818708986,-0.0021416695849297584,5.673397801157396e-09,-0.0008237899500347368
1778742077868393704,-0.0021628267039025735,6.135846648064619e-09,-0.0008376937514240623
1778742077934816424,-0.002184417434611128,6.029023795453521e-09,-0.0008570237057181629
1778742077984842743,-0.002204599551258207,6.604688596505277e-09,-0.0008737571495109897
1778742078034955066,-0.002218693306350393,6.972424637544021e-09,-0.0008859722336223008
1778742078084771865,-0.002239011494378924,7.2388485314947215e-09,-0.0009119537367578978
1778742078118585353,-0.0022482701852427757,7.441140114922995e-09,-0.0009182873327926444
1778742078184800978,-0.0022746868339920375,8.158919132317226e-09,-0.0009396766271283497
1778742078218615668,-0.002290380336948679,8.236672184427294e-09,-0.0009531156496080939
1778742078268361342,-0.002308789563167245,9.369073387403065e-09,-0.000964274772016882
1778742078334973644,-0.002337757573747701,9.524230256766401e-09,-0.000977655024717805
1778742078368385505,-0.002351842784553282,9.812072669221907e-09,-0.0009839781412388506
1778742078418512937,-0.0023729230203639634,1.019946832050783e-08,-0.0009956002376698692
1778742078468479522,-0.002386818908117035,9.894011926047105e-09,-0.001008394147543612
1778742078518557019,-0.0024076478885518902,1.0494841360370931e-08,-0.0010201620958731894
1778742078568608776,-0.002421752822244762,1.0837911109406662e-08,-0.0010277182318816358
1778742078618468828,-0.002438073402652793,1.055135386758449e-08,-0.0010388263117593333
1778742078668543449,-0.002463579889831665,1.1283858452335103e-08,-0.0010565660942405408
1778742078718398722,-0.002484261532827478,1.2629046962979768e-08,-0.0010724962153476625
1778742078768455559,-0.00250523093860713,1.2602899070894164e-08,-0.0010880251999343393
1778742078818426012,-0.0025204477728503396,1.2263254882393769e-08,-0.0010996229152744341
1778742078868541290,-0.0025406418920020943,1.2848585698006344e-08,-0.0011079018717072844
1778742078918819499,-0.002561771358281272,1.3369778216578209e-08,-0.0011154534229351754
1778742078968417321,-0.002575733569928499,1.3065943807264591e-08,-0.0011247347848337699
1778742079018381491,-0.0025895537406922793,1.3523508636051626e-08,-0.001131660964170944
1778742079068683846,-0.0026177739053924493,1.4271839966806824e-08,-0.0011444282601864586
1778742079118482421,-0.0026323680393693575,1.3881198923402575e-08,-0.0011539927513766202
1778742079168631344,-0.0026517704005102325,1.4625418743026483e-08,-0.0011626990934976435
1778742079218417595,-0.0026737319332031857,1.5124196956364674e-08,-0.001172568238921201
1778742079268156446,-0.002694610453591581,1.63225929859526e-08,-0.0011839301072416042
1778742079318429836,-0.0027094156163252245,1.515203726826281e-08,-0.0011986959106211616
1778742079368522972,-0.002722616403190967,1.5600031118311465e-08,-0.0012104509982733271
1778742079418488204,-0.0027436919802419028,1.625854794942053e-08,-0.00122754418017923
