name,n,ate_rmse_m,ate_mean_m,ate_max_m,yaw_abs_mean_rad,yaw_abs_max_rad,rpe_trans_rmse_m@1.0s,rpe_yaw_rmse_rad@1.0s
wheel,4154,0.6195415012335596,0.5257803255710479,0.9294205057098484,0.2215216131141038,0.4585727347527979,0.0071111122837955,0.0169667306109592
ekf,4249,0.6291216200186989,0.5352449952727736,0.9399895371631332,0.1606724026362495,0.4450561462556388,0.0133675722020053,0.0198049204788116
orb,4246,0.9948003898716017,0.5112630194068761,2.730985407702845,0.053960042844002624,0.0984852282649249,0.1803859342967562,0.004967497888981553
