lighting,trial,estimator,run_name,n_aligned,duration_s,gt_rows,est_rows,pose_count_ratio,gt_path_length_m,est_path_length_aligned_m,ate_rmse_m,ate_mean_m,ate_max_m,ate_final_m,ate_norm_rmse,drift_rate_m_per_m,yaw_abs_mean_rad,yaw_abs_max_rad,yaw_abs_mean_deg,yaw_abs_max_deg,rpe_trans_rmse_m_1.0s,rpe_yaw_rmse_rad_1.0s,rpe_yaw_rmse_deg_1.0s,aligned_csv,gt_csv,est_csv
bright,t01,wheel,bright_t01_wheel,4632,77.19971302100001,5130,5129,0.9998050682261208,18.938501705997496,18.938294485832948,0.2727258710025041,0.2209735297494281,0.4269563088919961,0.3096482851053702,0.0144006044003014,0.0163501997102183,0.0756158522827857,0.1882167206802307,4.332469200088298,10.784023728769904,0.0075311477260859,0.01675908875795,0.9602250543156816,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/aligned/bright_t01_wheel_aligned.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/bright_t01_wheel_gt.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/bright_t01_wheel_wheel.csv
bright,t01,ekf,bright_t01_ekf,4629,77.13326467200001,5130,1709,0.3331384015594542,18.938494076491416,18.955816061542443,0.2671156680850074,0.2167758485967867,0.419414208661578,0.2985160139650704,0.014104377412805,0.0157623944522401,0.0491745511363505,0.1343678908099521,2.8174942395631346,7.698713045484939,0.0216949486862223,0.0239128046577242,1.370102783208375,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/aligned/bright_t01_ekf_aligned.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/bright_t01_ekf_gt.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/bright_t01_ekf_ekf.csv
bright,t01,orbslam3,bright_t01_orbslam3,4626,77.1165059,5107,2826,0.5533581358919131,18.939122595020752,21.771203665536497,1.6163521577916486,1.4217662738299215,3.124497041262192,3.1230443677691664,0.0853446166622629,0.164899105124872,0.8337402720190384,2.4183054106666777,47.76979879678011,138.55869360485195,0.292091514751872,0.2933363435557983,16.80693446354679,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/aligned/bright_t01_orbslam3_aligned.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/bright_t01_orbslam3_gt.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/bright_t01_orbslam3_orbslam3.csv
bright,t02,wheel,bright_t02_wheel,4857,80.33309296,5611,5610,0.9998217786490822,17.75736858151528,21.19652743124285,3.476263143382908,2.7382244052367253,6.733389370596226,4.605690376183,0.1957645428952553,0.25936784242781,1.3082181976909348,3.139957654023455,74.95538140990175,179.9063214253431,0.2847052314717734,0.439422719708913,25.17706726148085,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/aligned/bright_t02_wheel_aligned.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/bright_t02_wheel_gt.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/bright_t02_wheel_wheel.csv
bright,t02,ekf,bright_t02_ekf,4852,80.24994453800001,5611,1866,0.3325610408126893,17.723222612205788,21.22558398857459,3.477432172536198,2.738808794584764,6.734538785430286,4.588825504639569,0.1962076676812336,0.2589159773617748,1.2896882485798786,3.135683703006669,73.89369353124603,179.6614420702357,0.2873697342115467,0.4326132612636604,24.786914031798165,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/aligned/bright_t02_ekf_aligned.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/bright_t02_ekf_gt.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/bright_t02_ekf_ekf.csv
bright,t02,orbslam3,bright_t02_orbslam3,4849,80.250844981,5608,3272,0.5834522111269614,17.72322243103397,25.502140225545087,2.905021609890961,2.4441095531451986,5.822298096582147,3.679953372276335,0.163910463867122,0.2076345532871387,1.2818132143122387,3.140909959864844,73.44248730418937,179.96088453086037,0.3972666507237442,0.4317291397743417,24.736257601883384,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/aligned/bright_t02_orbslam3_aligned.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/bright_t02_orbslam3_gt.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/bright_t02_orbslam3_orbslam3.csv
bright,t03,wheel,bright_t03_wheel,4642,77.3335644,5098,5095,0.9994115339348764,20.50730457804402,20.49762685884548,0.4229573821438499,0.3764587679929288,0.606864747691898,0.6055766476853479,0.0206247184038357,0.0295298021922248,0.1237089860431765,0.2204648928022901,7.08800278811682,12.631707888375344,0.00650397396582,0.0187106465673008,1.0720410802672815,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/aligned/bright_t03_wheel_aligned.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/bright_t03_wheel_gt.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/bright_t03_wheel_wheel.csv
bright,t03,ekf,bright_t03_ekf,4642,77.349788888,5098,1699,0.3332679482149863,20.50730873314562,20.524865845135903,0.4369235152761574,0.3879678588505524,0.6287500728871074,0.6263943390822652,0.0213057462079344,0.0305449314307066,0.1227780975058116,0.2457810340936417,7.034666803728706,14.082215937926664,0.0468261834574232,0.0308390799124201,1.766949123048351,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/aligned/bright_t03_ekf_aligned.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/bright_t03_ekf_gt.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/bright_t03_ekf_ekf.csv
bright,t03,orbslam3,bright_t03_orbslam3,4658,77.405447355,5097,2839,0.5569943103786541,19.28837120893796,22.61718515413088,2.2433960340350194,1.936516177828819,4.631421026550656,3.364454577543841,0.11630821543892,0.1744291698401573,1.074804017413787,3.141240315363363,61.58173400151543,179.97981250666442,0.3516282462578882,0.3129879957597694,17.93289119529329,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/aligned/bright_t03_orbslam3_aligned.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/bright_t03_orbslam3_gt.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/bright_t03_orbslam3_orbslam3.csv
dim,t01,wheel,dim_t01_wheel,5572,92.83895267,6003,6002,0.9998334166250208,21.403246374677305,19.93278914358161,2.4915748784668508,2.1628862507679942,4.102309361120378,3.6590158249717657,0.1164110731078016,0.1709561138959197,0.6376353322417222,1.1232926748848282,36.53381340587271,64.35992942886158,0.0286006165257078,0.0595885518175716,3.414172526443468,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/aligned/dim_t01_wheel_aligned.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/dim_t01_wheel_gt.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/dim_t01_wheel_wheel.csv
dim,t01,ekf,dim_t01_ekf,5567,92.766645805,6003,2001,0.3333333333333333,21.40323097729325,19.96904281701895,2.494405984017261,2.1646286588866603,4.105949442155458,3.667125134876391,0.1165434315344063,0.171335119392341,0.5416488538581686,0.8827248707053439,31.03419330417137,50.57640956264749,0.0927072306577022,0.0335510574334596,1.922333989138268,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/aligned/dim_t01_ekf_aligned.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/dim_t01_ekf_gt.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/dim_t01_ekf_ekf.csv
dim,t01,orbslam3,dim_t01_orbslam3,5568,92.767149474,6003,3792,0.6316841579210395,20.81806046773181,26.19476996023484,2.988514808970175,2.500984673740368,5.21347091736991,4.666089534316929,0.143553949879356,0.2241366116478243,1.1191194232350232,3.139757193003448,64.12081972248176,179.8948358549398,0.3241322273956851,0.2975431994304493,17.047969550184106,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/aligned/dim_t01_orbslam3_aligned.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/dim_t01_orbslam3_gt.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/dim_t01_orbslam3_orbslam3.csv
dim,t02,wheel,dim_t02_wheel,4889,81.48291852300001,5404,5409,1.0009252405625462,20.797300875439184,20.788647466950405,0.6948631287215419,0.5836033361242482,1.0150765721523738,0.9048173527984522,0.0334112168152622,0.0435064799137953,0.1846920176793701,0.3274218910569924,10.582073122783497,18.75989247775789,0.0066519369747994,0.0227452941916368,1.303209360964215,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/aligned/dim_t02_wheel_aligned.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/dim_t02_wheel_gt.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/dim_t02_wheel_wheel.csv
dim,t02,ekf,dim_t02_ekf,4889,81.483138913,5404,1803,0.3336417468541821,20.797300875439184,20.815321420347743,0.7043783459068266,0.5908784431215979,1.0295804390735477,0.9192801846960816,0.0338687385505236,0.0442018986118394,0.1797708467625575,0.3566328838617854,10.300110798987603,20.43355908085955,0.0460350551137,0.0289877207253629,1.6608740552671997,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/aligned/dim_t02_ekf_aligned.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/dim_t02_ekf_gt.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/dim_t02_ekf_ekf.csv
dim,t02,orbslam3,dim_t02_orbslam3,4892,81.51678383800001,5404,3211,0.5941894892672095,20.798031802043287,24.29183498982242,1.61293092521265,1.3652536992547173,2.713124588437773,2.354374568165963,0.0775520943791512,0.1132017967168729,0.8652459539994865,2.554018892126491,49.57494140494114,146.3345033155262,0.224519667446686,0.2838648879119955,16.264260029311522,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/aligned/dim_t02_orbslam3_aligned.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/dim_t02_orbslam3_gt.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/dim_t02_orbslam3_orbslam3.csv
dim,t03,wheel,dim_t03_wheel,4742,79.025570128,5195,5194,0.9998075072184792,20.49052601689062,20.487021780988144,0.3513879966360604,0.3054658683854853,0.5334192928283965,0.530512641744963,0.0171488031271821,0.0258906306898931,0.1031578697950984,0.1961396329472595,5.910510562819215,11.23797316312308,0.0059872612187775,0.0160187980576519,0.9178095215758147,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/aligned/dim_t03_wheel_aligned.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/dim_t03_wheel_gt.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/dim_t03_wheel_wheel.csv
dim,t03,ekf,dim_t03_ekf,4733,78.88303185000001,5195,1731,0.3332050048123195,20.4905121357792,20.52710496270373,0.3745531907254358,0.3233821866935964,0.5714319372792245,0.5636440930490622,0.0182793474483937,0.027507564931228,0.0976920634403839,0.2042023093719196,5.597342927058288,11.699930493835732,0.0403959382323672,0.0219447766440397,1.2573430840607422,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/aligned/dim_t03_ekf_aligned.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/dim_t03_ekf_gt.csv,/media/vgtu/New Volume/Harish_Thesis/ros2_ws/analysis/results_v6_lighting_sweep/extracted/dim_t03_ekf_ekf.csv
