idx,t_rel_ns,t_abs_ns,x,y,z,yaw
55,916666714,3066666826,-0.0011491762650917526,3.647559474647563e-07,1.935652412362528e-06,4.809661168550424e-07
56,933333382,3083333494,-0.0011544211667413027,6.09192097912427e-07,1.958843940929882e-06,-1.7954479439118316e-06
57,950000049,3100000161,-0.0011610969638827034,4.976418134050822e-07,1.9991983818735843e-06,-3.28893948773454e-06
58,966666717,3116666829,-0.001167296051651403,6.239628914527363e-07,1.7854792626365987e-06,-6.187064519626382e-06
59,983333384,3133333496,-0.0011739716421477046,3.557575013150409e-08,2.302671118396e-06,6.800727540121083e-05
60,1000000052,3150000164,-0.001179693393709036,6.381866070993115e-07,2.058395151519406e-06,-5.412089956662764e-06
61,1016666719,3166666831,-0.001186608282916376,2.8849144012389704e-07,1.8458074498609535e-06,-8.815865542191521e-06
62,1033333387,3183333499,-0.0011930455776099733,-1.809600189487239e-07,2.1987096690825167e-06,2.4467471577963265e-08
63,1050000054,3200000166,-0.0011992440476527207,4.221979023172493e-07,2.0296931252947515e-06,-1.9246108005116587e-06
64,1066666722,3216666834,-0.0012049658562113554,6.671811201706444e-07,2.0089349363189533e-06,5.9667603034776516e-05
65,1083333389,3233333501,-0.0012118807036478063,-1.5935090089954408e-07,2.1688766514232156e-06,-1.164251596697518e-06
66,1100000057,3250000169,-0.001218078904712123,8.014346559848381e-07,1.9104526129456354e-06,6.465454003002379e-05
67,1116666725,3266666837,-0.001224040150311532,-2.6191496400795525e-08,2.024183479925224e-06,-3.550272449605831e-06
68,1133333392,3283333504,-0.0012302382153911253,4.577572048350333e-07,2.1978934285263497e-06,6.954807544906406e-05
69,1150000060,3300000172,-0.0012371522794457424,7.041080910085167e-07,2.074711516982168e-06,6.171288307936883e-05
70,1166666727,3316666839,-0.0012433520183842393,-4.035313665005267e-09,2.0547087427757544e-06,6.726447784262362e-05
71,1183333395,3333333507,-0.001249549626057733,8.375410200816741e-07,2.258220337319046e-06,4.91541232919765e-07
72,1200000062,3350000174,-0.0012555103808071977,7.25170139709748e-07,2.163333929761008e-06,5.945653531961982e-05
73,1216666730,3366666842,-0.0012619489056166716,-2.2111815248162656e-07,2.0841038664794104e-06,-2.987809717768895e-06
74,1233333397,3383333509,-0.0012686236557338361,6.210052525552254e-07,2.094654317689572e-06,7.099797528645783e-05
75,1250000065,3400000177,-0.0012750606244517,8.668090682154258e-07,2.1346312643205247e-06,6.579067214330487e-05
76,1266666732,3416666844,-0.0012807835932475064,3.890938504026624e-08,2.158578420729207e-06,-3.7413151183323174e-06
77,1283333400,3433333512,-0.0012874591495182924,4.0419594996635766e-07,2.0052171558581663e-06,-6.918885972622617e-07
78,1300000067,3450000179,-0.0012931808403096338,6.491791658775284e-07,2.058964679777356e-06,-1.7654169460463114e-06
79,1316666735,3466666847,-0.0012991410578839081,6.56017489997954e-07,2.2173974829903362e-06,-3.1843975842097424e-06
80,1333333403,3483333515,-0.0013053403394163053,3.055017178352824e-07,2.227196354726089e-06,6.596270603849551e-05
81,1350000070,3500000182,-0.0013124929819151297,4.32916926421492e-07,2.0894903687717722e-06,-1.7945081818902563e-06
82,1366666738,3516666850,-0.0013184527800815062,5.58964456976493e-07,2.4267366698607823e-06,6.663785283741858e-05
83,1383333405,3533333517,-0.0013248905405082478,5.663498589906527e-07,2.1388889058976714e-06,-7.601624073684743e-06
84,1400000073,3550000185,-0.0013310904162131387,-2.6100275677878254e-07,2.118886344763201e-06,6.654602639663523e-05
85,1416666740,3566666852,-0.001337287722246028,6.997827853446965e-07,2.4267057242875334e-06,6.88763100914282e-05
86,1433333408,3583333520,-0.0013434866922474346,8.261038614501266e-07,2.2874923179455366e-06,5.8929128405673116e-05
87,1450000075,3600000187,-0.0013499247740955524,-9.752246951174098e-10,2.4019768951189655e-06,-3.8015970499813117e-06
88,1466666743,3616666855,-0.0013556462475697382,7.208448410379343e-07,2.2471075706444152e-06,-4.492064759408721e-06
89,1483333410,3633333522,-0.0013625611512218215,1.3273124759780038e-07,2.1984328634988235e-06,-3.98590964287031e-06
90,1500000078,3650000190,-0.0013689982802595378,2.5932585255053216e-07,2.2235088806227217e-06,-1.7011980309384998e-06
91,1516666745,3666666857,-0.001375196524658085,5.048561300407551e-07,2.456823825683724e-06,6.592103706974096e-05
92,1533333413,3683333525,-0.0013809187055177003,6.306301406826851e-07,2.287054423989892e-06,-9.736204829985683e-06
93,1550000080,3700000192,-0.0013868798379041737,-7.778680021859056e-08,2.3858839353185396e-06,6.0305285790239015e-05
94,1566666748,3716666860,-0.0013935557193690228,1.6829055671914615e-07,2.1133137428874604e-06,-5.432258402558259e-06
95,1583333416,3733333528,-0.001399992542211777,2.948851566220953e-07,2.3321046135383286e-06,-2.2082140855424522e-06
96,1600000083,3750000195,-0.0014057137710426614,7.782867916175345e-07,2.5050608519456135e-06,6.611616580369564e-05
97,1616666751,3766666863,-0.0014123902892325638,4.283180922988149e-07,2.2622940100322457e-06,-9.61436601305198e-06
98,1633333418,3783333530,-0.0014188276826943534,7.807584820655536e-08,2.4661845903918887e-06,-2.6795248437197577e-06
99,1650000086,3800000198,-0.001425264226668291,9.199257236192159e-07,2.342247903294151e-06,-6.720305883724936e-06
100,1666666753,3816666865,-0.0014317025349422801,-1.4557178549474447e-07,2.4865351917694618e-06,6.454949096731789e-05
101,1683333421,3833333533,-0.001437662124900216,6.95731021735302e-07,2.436350507372872e-06,6.250146898200703e-05
102,1700000088,3850000200,-0.0014438617696248782,-1.241238449199926e-08,2.475952303482449e-06,6.469156048075784e-05
103,1716666756,3866666868,-0.0014502991151980798,2.3339143738331827e-07,2.2775109688494387e-06,-2.019370441618087e-06
104,1733333423,3883333535,-0.0014564972463836914,5.981309263578993e-07,2.4959245582595e-06,-3.7111318391791254e-06
105,1750000091,3900000203,-0.0014626962118307405,6.052427890367471e-07,2.4461182204634327e-06,5.938383344137611e-05
106,1766666758,3916666870,-0.0014691344585530688,-2.2183629438938286e-07,2.4562947995838776e-06,-3.079025634102449e-06
107,1783333426,3933333538,-0.001475570700886402,7.39222789400077e-07,2.436665897467181e-06,6.830287611567428e-05
108,1800000094,3950000206,-0.0014812925003363218,7.457875804003075e-07,2.594721845583241e-06,-6.0047273388000185e-06
109,1816666761,3966666873,-0.0014879696408065341,3.819125128985093e-08,2.2178453596747232e-06,5.985257528081408e-05
110,1833333429,3983333541,-0.0014941680318618616,-1.931153222071415e-07,2.7044805808664588e-06,-3.6260186095076575e-06
111,1850000096,4000000208,-0.0015001276970345305,7.673966996148216e-07,2.5201854001869474e-06,-8.149174198406913e-06
112,1866666764,4016666876,-0.0015063271107789644,1.784625029296543e-07,2.619391553540572e-06,5.8193564031957014e-05
113,1883333431,4033333543,-0.0015130032992204463,-1.715062018272928e-07,2.5852407077331716e-06,6.734976550114718e-05
114,1900000099,4050000211,-0.0015192015808355246,4.316517163311217e-07,2.5354333045773885e-06,6.630618672912394e-05
115,1916666766,4066666878,-0.0015256389218543684,5.582463247798572e-07,2.426399038490307e-06,-5.89344552551336e-06
116,1933333434,4083333546,-0.0015313611551569292,2.0718348288079222e-07,2.569554483243199e-06,-3.6506940455008285e-06
117,1950000101,4100000213,-0.0015375595970918605,6.911321903317383e-07,2.504846150580361e-06,-8.753551768308822e-06
118,1966666769,4116666881,-0.0015442357954237283,-1.6464154316510974e-08,2.7240153678317512e-06,-5.168525320354738e-06
119,1983333436,4133333548,-0.0015504339638258713,7.059029753262618e-07,2.6593066090250275e-06,-8.911333927566623e-06
120,2000000104,4150000216,-0.0015566342634930174,-1.2144963345116682e-07,2.371083481468598e-06,-1.085037331330512e-05
121,2016666771,4166666883,-0.0015621167117889532,1.232600357442405e-07,2.945994140555788e-06,6.701677723521903e-05
122,2033333439,4183333551,-0.001569030742399726,7.27238561420581e-07,2.584393308531813e-06,6.0113764200502736e-05
123,2050000107,4200000219,-0.0015749918231249248,-1.0038759368416634e-07,2.802432173564386e-06,6.266877165639967e-05
124,2066666774,4216666886,-0.001581428527418715,6.222530710210254e-07,2.6635945569595934e-06,6.178054990246136e-05
125,2083333442,4233333554,-0.0015871509917015044,1.519810195798266e-07,2.7471456444684375e-06,-5.301014504736596e-06
126,2100000109,4250000221,-0.0015933492497631242,7.551389373497962e-07,2.712239383891652e-06,-9.810320305049837e-06
127,2116666777,4266666889,-0.0015997876894674789,4.726907045780685e-08,2.5137997538341862e-06,-1.0440975456623002e-05
128,2133333444,4283333556,-0.0016062246300775262,1.738636723029805e-07,2.658084911590066e-06,-2.0943837480910613e-06
129,2150000112,4300000224,-0.0016121844229078745,7.767480561758655e-07,2.6526040810743556e-06,-3.2787323307104076e-06
130,2166666779,4316666891,-0.0016188604084769436,6.651977747760795e-07,2.573749381386076e-06,-6.070673170523978e-06
131,2183333447,4333333559,-0.0016255366113631692,7.681064355441249e-08,2.7035115300915365e-06,-4.742995706856727e-06
132,2200000114,4350000226,-0.0016314963335331415,6.796950262619635e-07,2.7427341273128197e-06,6.518517944659836e-05
133,2216666782,4366666894,-0.0016372187598177289,4.478414008970393e-07,2.6772733628878005e-06,-5.471553120813155e-06
134,2233333449,4383333561,-0.001643656374369361,3.360175871539479e-07,2.568239522944605e-06,-4.0625943305590894e-06
135,2250000117,4400000229,-0.0016496163138564894,4.6206512003961773e-07,2.8160789685596287e-06,6.482763987106538e-05
136,2266666785,4416666897,-0.0016565307646568303,3.507883725369161e-07,2.707798838810274e-06,-5.0620470220591285e-06
137,2283333452,4433333564,-0.0016622527289809604,3.573531662562604e-07,2.7615467888733495e-06,6.437801005525172e-05
138,2300000120,4450000232,-0.00166892829969649,4.842213047176323e-07,2.77209851851517e-06,6.455535163261637e-05
139,2316666787,4466666899,-0.0016748887528053502,4.910596327225059e-07,2.781519895938173e-06,6.49028968646305e-05
140,2333333455,4483333567,-0.0016813260892698367,4.984450277446589e-07,2.761892698397021e-06,6.421113998841857e-05
141,2350000122,4500000234,-0.0016872869617865942,3.8607414931495684e-07,2.592500577943995e-06,-4.67830812616255e-06
142,2366666790,4516666902,-0.0016932468070598881,5.121216806468475e-07,2.899944593875009e-06,-5.100337137678009e-06
143,2383333457,4533333569,-0.001699446220022651,5.192335507061467e-07,2.567016547077985e-06,-4.7741941336615985e-06
144,2400000125,4550000237,-0.0017051680574707731,2.8737991563010207e-07,2.8740843471279086e-06,6.413587142179834e-05
145,2416666792,4566666904,-0.0017113669097048867,4.1370098979330813e-07,2.8093766536808998e-06,-5.1628413050395295e-06
146,2433333460,4583333572,-0.0017173270611731426,5.397485261749815e-07,2.9231058160849442e-06,-5.2347332074645865e-06
147,2450000127,4600000239,-0.001723526210493503,4.276511785348052e-07,2.843497406202824e-06,-1.1396011470135992e-05
148,2466666795,4616666907,-0.0017299642543434188,-1.6100948153416376e-07,2.80897013144239e-06,5.8145350714302136e-05
149,2483333462,4633333574,-0.001736162244208279,2.0373000510974858e-07,3.116790576326438e-06,-3.07924943603005e-06
150,2500000130,4650000242,-0.0017418836986833634,1.0447592838809377e-06,2.8874153258849556e-06,5.9389269732741144e-05
151,2516666798,4666666910,-0.0017480832491941912,3.366158760998575e-07,2.9866216923105242e-06,5.46465017422921e-05
152,2533333465,4683333577,-0.0017547592628710767,3.4427480851509855e-07,2.8034587814973174e-06,-8.565968354069828e-06
153,2550000133,4700000245,-0.001760720111834376,2.3190392969695167e-07,2.648967803623289e-06,6.024115767786887e-05
154,2566666800,4716666912,-0.0017664414166616651,2.384687125398408e-07,3.1199477458983007e-06,6.270706027600926e-05
155,2583333468,4733333580,-0.001773355532377557,6.04028812916796e-07,2.877556480650194e-06,5.779019974297187e-05
156,2600000135,4750000247,-0.0017795551299953022,-1.0411459408739475e-07,2.9469605619177664e-06,-1.253810289045806e-05
157,2616666803,4766666915,-0.0017857545384037075,-2.1621193745467804e-07,2.703439583666672e-06,-9.122066444782405e-06
158,2633333470,4783333582,-0.0017919524811616503,1.4852754841234484e-07,3.0410623137087154e-06,6.391558554340589e-05
159,2650000138,4800000250,-0.0017983894118813117,6.327497901488203e-07,2.932027408405805e-06,-6.746687355550916e-06
160,2666666805,4816666917,-0.0018043491013891104,9.972157456147615e-07,3.164965285297944e-06,6.090881418067316e-05
161,2683333473,4833333585,-0.0018117408177364437,4.096492180265725e-07,3.1319454309251907e-06,7.025839928876478e-05
162,2700000140,4850000252,-0.00181674721615652,8.922302606534335e-07,3.0355505376197565e-06,-1.5338478276042066e-05
163,2716666808,4866666920,-0.001823185712858178,-1.7326724535296845e-07,3.0606286854630858e-06,-7.937391257788201e-06
164,2733333476,4883333588,-0.0018296217523190988,1.026210261793653e-06,2.9962959294655094e-06,6.443143841035432e-05
165,2750000143,4900000255,-0.001836297827547645,7.954507685210636e-07,2.9472437280071686e-06,-1.2758174844746717e-05
166,2766666811,4916666923,-0.001842497792912013,-1.511110591211746e-07,2.9570436651026364e-06,-1.2819719494800651e-05
167,2783333478,4933333590,-0.0018482188614230444,4.514997865817331e-07,3.1449008330169763e-06,5.957908210470829e-05
168,2800000146,4950000258,-0.0018560865463138046,5.797355910325241e-07,3.1424356955644e-06,7.304135959187241e-05
169,2816666813,4966666925,-0.0018620468436571697,8.249923431714486e-07,3.077350933948528e-06,5.2302764902442195e-05
170,2833333481,4983333593,-0.0018677700669866633,-1.221165491574006e-07,3.026792590534165e-06,6.2579397049521e-05
171,2850000148,5000000260,-0.001873967396573011,8.386689933545235e-07,3.3197108274795e-06,6.760437410866612e-05
172,2866666816,5016666928,-0.0018811207510116225,4.892473602761936e-07,3.0776976957599723e-06,-7.191132338938016e-07
173,2883333483,5033333595,-0.0018866036749310882,8.531662506670796e-07,3.265178434721278e-06,5.160304625874223e-05
174,2900000151,5050000263,-0.0018928041493628306,-3.3181399528253736e-07,3.125967372170655e-06,5.7990901324160813e-05
175,2916666818,5066666930,-0.0018990015777173705,7.481807622097482e-07,3.26987397025407e-06,6.359018589659809e-05
176,2933333486,5083333598,-0.0019052006799308136,6.360834137926822e-07,3.2200678455299453e-06,5.7801671033463426e-05
177,2950000153,5100000265,-0.0019114007957246484,-7.205998466572256e-08,2.9616467900595683e-06,-1.1077613684118456e-05
178,2966666821,5116666933,-0.0019175986632678577,1.7347028660938328e-07,3.4333800163845347e-06,6.453624458446014e-05
179,2983333489,5133333601,-0.00192522833044306,3.0143256454354163e-07,3.1772185999920764e-06,7.209729972404789e-05
180,3000000156,5150000268,-0.0019307108205098844,1.0229790878337231e-06,3.379599842316551e-06,5.061704992224692e-05
181,3016666824,5166666936,-0.0019373882915101886,-2.806633025829729e-07,3.2262415604527142e-06,6.261050710144891e-05
182,3033333491,5183333603,-0.0019428707010262511,7.98510859433176e-07,3.2200061674553913e-06,-7.663682248496778e-06
183,3050000159,5200000271,-0.0019493082639166085,5.674778314866126e-07,3.230181681216121e-06,-1.4101422281288387e-05
184,3066666826,5216666938,-0.0019559850465305844,-2.5932771687709834e-07,3.1662294025384974e-06,-1.1590316316851136e-05
185,3083333494,5233333606,-0.0019626600086288764,5.827956916557569e-07,3.04266957053768e-06,6.0576036409393564e-05
186,3100000161,5250000273,-0.0019683815679898526,4.701512653449567e-07,3.4391440129896464e-06,6.343855358210557e-05
187,3116666829,5266666941,-0.001975056921388226,1.0738562536282096e-06,3.2410788942377262e-06,-1.1525744691462501e-05
188,3133333496,5283333608,-0.0019814957858365068,-2.300596730162396e-07,3.2065528979089507e-06,5.586155871487408e-05
189,3150000164,5300000276,-0.001987693949684292,3.73098243199951e-07,3.2312512076481564e-06,-3.732150838814748e-06
190,3166666831,5316666943,-0.001993892457725241,7.37837738389649e-07,3.2112465157942545e-06,-6.927954005114416e-06
191,3183333499,5333333611,-0.002000329860295746,6.260139211505546e-07,3.236322959062039e-06,-8.75619096959866e-06
192,3200000167,5350000279,-0.0020062905633839363,3.9443382657515626e-07,3.260645905207926e-06,-1.1388369652993196e-05
193,3216666834,5366666946,-0.0020127282250424856,2.8261001360895497e-07,3.1218097801067357e-06,-1.0897961693964654e-05
194,3233333502,5383333614,-0.002018449628637966,4.0838401143220555e-07,3.443778083519827e-06,6.388959641252852e-05
195,3250000169,5400000281,-0.002024886653571462,8.926062547224602e-07,3.275138607900925e-06,-1.2144834790475518e-05
196,3266666837,5416666949,-0.0020315633609707044,-5.340850823316738e-08,3.345296825506225e-06,-7.930546646292123e-06
197,3283333504,5433333616,-0.002037284184056764,9.068299734765938e-07,3.4288453561517513e-06,6.006546429030555e-05
198,3300000172,5450000284,-0.0020437223456739734,3.1816931534984896e-07,3.319812368496329e-06,5.5814965264218034e-05
199,3316666839,5466666951,-0.00204992125490539,8.686275039864253e-08,3.478622452950115e-06,6.35548347018304e-05
200,3333333507,5483333619,-0.0020561195646282846,8.09229882372084e-07,3.3245068386694048e-06,-1.1971153226161213e-05
201,3350000174,5500000286,-0.002062319506439194,-1.3733194565859886e-07,3.349207918343871e-06,5.402184449611266e-05
202,3366666842,5516666954,-0.002068518452887142,-1.1010869941613329e-08,3.224895654580872e-06,6.008359299344434e-05
203,3383333509,5533333621,-0.0020751930335757385,7.11903318949542e-07,3.4291611723899468e-06,-5.464306767395078e-06
204,3400000177,5550000289,-0.002081153142491434,9.57160067980908e-07,3.4832855514060565e-06,-8.230259302898695e-06
205,3416666844,5566666956,-0.0020871144017539163,4.871615558750211e-07,3.3287952127478575e-06,-1.3309595976428657e-05
206,3433333512,5583333624,-0.0020935521394088697,-1.014991092437305e-07,3.4879827915143936e-06,5.7039133186227435e-05
207,3450000180,5600000292,-0.0020997505813438013,3.8244959820721577e-07,3.423274458851556e-06,-1.0986942148392095e-05
208,3466666847,5616666959,-0.0021061877058271604,3.898349897333654e-07,3.5377575445213835e-06,6.225306169931963e-05
209,3483333515,5633333627,-0.0021123862138681094,7.545744849230637e-07,3.5177528526674815e-06,5.620570484309255e-05
210,3500000182,5650000294,-0.0021190628217174893,2.853965737315409e-07,3.304788508984052e-06,5.488341543009887e-05
211,3516666850,5666666962,-0.002125022987630488,1.7302568364849392e-07,3.5824306659009567e-06,6.417252784452461e-05
212,3533333517,5683333629,-0.0021316981480468352,6.575214553976058e-07,3.592981756326948e-06,6.096724663874565e-05
213,3550000185,5700000297,-0.0021376591102230703,4.259413650951011e-07,3.45339213410386e-06,-1.4873684163265947e-05
214,3566666852,5716666964,-0.00214362002073803,7.515206058912435e-08,3.4330118655846973e-06,5.6635840994744685e-05
215,3583333520,5733333632,-0.0021498181329245407,5.591007626018429e-07,3.576919529027827e-06,5.8210711420492856e-05
216,3600000187,5750000299,-0.0021560173293518185,4.470034157385565e-07,3.467508833987712e-06,5.63577224439406e-05
217,3616666855,5766666967,-0.002162454543494654,3.35179595391903e-07,3.6117944178874778e-06,-7.246037337672169e-06
218,3633333522,5783333634,-0.002168414793731102,5.804363467539378e-07,3.5765119414296015e-06,-7.159330937868189e-06
219,3650000190,5800000302,-0.0021753290416590305,7.075780226083976e-07,3.4235279577993674e-06,-1.4388299875983176e-05
220,3666666858,5816666970,-0.002181289962064377,-8.389217888810815e-10,3.656467752338995e-06,-7.747804146734131e-06
221,3683333525,5833333637,-0.0021877262750580853,9.602201631659131e-07,3.5921354224853044e-06,5.6822441512177546e-05
222,3700000193,5850000305,-0.0021939264759570395,1.365833940812281e-08,3.4529239337907958e-06,-1.4365088462178264e-05
223,3716666860,5866666972,-0.002199648110532749,2.0223127689239857e-08,3.71528787995984e-06,-6.057453110874707e-06
224,3733333528,5883333640,-0.0022065614482028356,9.818292819919824e-07,3.532500119668008e-06,-1.3361110445895205e-05
225,3750000195,5900000307,-0.0022132382027089956,3.5814519813244375e-08,3.572856052115312e-06,5.4051168420432604e-05
226,3766666863,5916666975,-0.0022184831940180224,1.6104145838811218e-07,3.625850078912605e-06,-1.0848344767315869e-05
227,3783333530,5933333642,-0.0022249200350782073,7.644729119973902e-07,3.4870126753797555e-06,-1.1739536401933307e-05
228,3800000198,5950000310,-0.0022313577020727847,1.7581224571330442e-07,3.690903681883285e-06,-8.653779135967739e-06
229,3816666865,5966666977,-0.0022375560733473403,6.59760951998916e-07,3.67089877695744e-06,5.621219156079958e-05
230,3833333533,5983333645,-0.0022437555387530487,1.9003596951722067e-07,3.6508955766071406e-06,5.479751698923676e-05
231,3850000200,6000000312,-0.0022497158505411573,1.9687429519142537e-07,3.7497238095041296e-06,-1.2028378387275129e-05
232,3866666868,6016666980,-0.0022559143160295475,6.808230030308162e-07,3.6701143342622943e-06,5.673746997125596e-05
233,3883333535,6033333647,-0.002262113861204347,4.495164485676197e-07,3.4265935690831424e-06,-1.3483827889464575e-05
234,3900000203,6050000315,-0.002268312459686444,9.900066514004864e-08,3.868525575609829e-06,-7.86694598928997e-06
235,3916666871,6066666983,-0.002274749512727756,7.024321222453303e-07,3.595577888866e-06,-1.3807420255929652e-05
236,3933333538,6083333650,-0.0022811876606818925,-2.438561761611613e-07,3.754766106848366e-06,5.825571001950142e-05
237,3950000206,6100000318,-0.0022871466800207926,1.0742834750640934e-06,3.719481712743001e-06,5.4532447869469734e-05
238,3966666873,6116666985,-0.0022933468011506557,-1.1069677671219558e-07,3.8037877888773445e-06,5.590074858637621e-05
239,3983333541,6133333653,-0.0022995445736983602,7.308795597535975e-07,3.902991385367651e-06,6.0214663304808055e-05
240,4000000208,6150000320,-0.00230598235767856,7.382649621562025e-07,3.6002424788255433e-06,-1.7423871666760167e-05
241,4016666876,6166666988,-0.002312181432565858,-8.908766682035718e-08,4.0868787653769955e-06,5.681890353787014e-05
