t_s,gt_x,gt_y,gt_yaw,est_x,est_y,est_yaw,est_x_al,est_y_al,est_yaw_al
0.0,-2.460126061576769e-05,1.792205839490377e-06,-0.0003201963496096,-6.999999974887877e-06,5.929332035504004e-10,-0.0001694094869311158,0.8951031603189261,-1.1438824860514432,0.13594665227752767
0.048252827000000005,-3.08751430289387e-05,4.223359572849565e-07,-0.0002718259837504,-1.1549025865281658e-05,1.2865165368406975e-09,-0.00014739096832894205,0.8950986532751205,-1.1438831026495022,0.13596867079612984
0.086123959,-3.74168733278301e-05,2.4460330066401985e-07,-0.0001808120079961,-1.592341326168889e-05,1.823135203400655e-09,-0.00010759806328541899,0.8950943192757901,-1.1438836957053053,0.13600846370117337
0.16615164000000002,-4.434554506361754e-05,1.199422938222423e-06,-0.000171990172979,-2.099999986841245e-05,2.253146170632676e-09,-3.3881897386400794e-05,0.8950892895867051,-1.1438843841524484,0.13608217986707238
0.283058032,-5.100642446131069e-05,1.0813146332555996e-06,-0.0002238544449674,-2.9990371187420796e-05,2.8623678485550946e-09,-7.739773155668317e-05,0.8950803822891296,-1.1438856035074934,0.1360386640329021
0.31536922900000003,-5.723517080255431e-05,9.631348996540412e-07,-0.0002272661056927,-3.332886263103529e-05,3.088596697936235e-09,-9.355693509638385e-05,0.8950770746463541,-1.1438860563037396,0.1360225048293624
0.39907182300000005,-6.292743131979511e-05,9.640757855664407e-07,-0.0002228697109724,-4.0166517183207645e-05,3.726993530310158e-09,-0.0001016456921587583,0.8950703001500392,-1.1438869835145362,0.13601441607230003
0.42580595200000004,-6.858973367361821e-05,8.458024687908686e-07,-0.0002247782751595,-4.389841409472885e-05,4.106324776253271e-09,-0.0001016456921587583,0.8950666027198231,-1.1438874895426971,0.13601441607230003
0.5147614070000001,-7.58019794237754e-05,4.297620787250546e-07,-0.0002085956253272,-5.0619914131555416e-05,4.762093415766755e-09,-9.380486750520944e-05,0.8950599433012955,-1.143888400974564,0.13602225689695358
0.5709246990000001,-8.2239158097071e-05,9.67267916348225e-07,-0.0002003944177917,-5.5019243700465864e-05,5.13473749921332e-09,-7.251091985427394e-05,0.8950555846127458,-1.1438889975773816,0.1360435508446045
