lighting,trial,default_ate_rmse_m,tuned_ate_rmse_m,tuned_ate_improvement_pct,default_norm_ate,tuned_norm_ate,tuned_norm_ate_improvement_pct,default_yaw_mean_deg,tuned_yaw_mean_deg,tuned_yaw_improvement_pct,default_pose_output_ratio,tuned_pose_output_ratio
bright,t03,1.530396662063212,2.2433960340350194,-46.5891876038578,0.0746236795859552,0.11630821543892,-55.85966289018289,45.94233609142439,61.58173400151543,-34.04136411123921,0.8391210515989798,0.5569943103786541
dim,t03,2.3320512787909826,2.7487690947390755,-17.869153210221608,0.1138078287037774,0.1413828549912605,-24.229463475009478,59.3012342071648,58.73682502156713,0.9517663386666634,0.8669618790912591,0.5979976896418945
lowlight,t03,1.2600526531672094,0.5154053834407863,59.09652012197367,0.0600237725328381,0.0245529280441382,59.09466031861682,54.10903799462722,2.999531099262967,94.45650632421001,0.9049161585365854,0.6718124642652945
